lat,lon,dist_1,dist_2,dist_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
-8.05955,-34.95985,1.982699279051112,1.8280061871905349,0.5148377870898738,8.0,8.0,2.0,0.0,6.0,6.0
-8.05955,-34.959648082191784,1.9730872584253587,1.8076581827045148,0.5059499100654838,8.0,8.0,2.0,0.0,6.0,6.0
-8.05955,-34.95944616438357,1.9636804731574076,1.787355683871511,0.4978990059657346,8.0,8.0,2.0,0.0,6.0,6.0
-8.05955,-34.959244246575345,1.9544818865991305,1.7671002591557987,0.4907262709024261,8.0,8.0,2.0,0.0,6.0,6.0
-8.05955,-34.959042328767126,1.9454944519371191,1.7468935460480466,0.4844707111194296,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.958840410958906,1.936721108750026,1.7267372546556492,0.4791682492375024,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.958638493150694,1.9281647794545829,1.7066331715044551,0.4748508148766685,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.95843657534247,1.919828365626844,1.6865831635628217,0.4715454653225626,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.95823465753425,1.911714744225704,1.6665891824992705,0.4692735870580584,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.958032739726036,1.9038267637062989,1.6466532691836513,0.4680502294848583,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.95783082191781,1.8961672400409504,1.626777558448036,0.4678836172564942,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.95762890410959,1.8887389526591232,1.6069642841405087,0.4687748771425467,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.95742698630137,1.8815446403072773,1.5872157844510368,0.4707180002390066,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.957225068493145,1.8745869968429008,1.5675345075588385,0.4737000424580339,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.957023150684925,1.8678686669798472,1.5479230176086298,0.47770154790034897,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.95682123287671,1.8613922419860265,1.528384001019672,0.4826971635243265,8.0,7.0,2.0,1.0,6.0,5.0
-8.05955,-34.95661931506849,1.8551602553562256,1.5089202731674545,0.4886564014203389,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.956417397260275,1.8491751784701067,1.4895347854461622,0.4955444982941343,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.956215479452055,1.8434394162473664,1.4702306327256778,0.5033233206365495,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.956013561643836,1.8379553028205655,1.4510110612366398,0.511952267863027,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.955811643835624,1.832725097238285,1.431879476887442,0.5213891331903875,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.9556097260274,1.8277509792131101,1.4128394540438831,0.5315908915843843,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.95540780821918,1.8230350449375483,1.3938947447891006,0.5425143942678511,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.95520589041096,1.8185793029765205,1.3750492886697894,0.5541169588869534,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.95500397260274,1.8143856702604264,1.3563072229647135,0.5663568525505278,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.95480205479452,1.810455968193078,1.3376728934747797,0.5791936713243536,8.0,6.0,2.0,2.0,6.0,4.0
-8.05955,-34.9546001369863,1.8067919188919732,1.3191508658532298,0.5925886242067733,8.0,6.0,3.0,2.0,5.0,3.0
-8.05955,-34.954398219178074,1.8033951415783664,1.3007459374902215,0.6065047323342682,8.0,6.0,3.0,2.0,5.0,3.0
-8.05955,-34.954196301369855,1.8002671491344355,1.2824631499539223,0.6209069554397311,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.95399438356164,1.7974093448416608,1.264307801984064,0.6357622578049759,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.95379246575342,1.7948230193208865,1.2462854630453577,0.6510396253312677,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.953590547945204,1.792509347683402,1.228401987426484,0.666710044337285,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.953388630136985,1.7904693869115968,1.2106635288562546,0.682746451367912,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.953186712328765,1.7887040734822108,1.1930765556185778,0.6991236619202621,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.952984794520546,1.7872142212399804,1.17564786611632,0.7158182846394863,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.95278287671233,1.7860005195415931,1.1583846048339237,0.7328086262851615,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.95258095890411,1.785063531667833,1.1412942786162232,0.7500745916624209,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.95237904109589,1.7844036935249432,1.1243847731817669,0.7675975817600229,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.952177123287676,1.7840213126332254,1.1076643697433999,0.7853603925303423,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.95197520547946,1.7839165674103143,1.0911417616004615,0.8033471161046752,8.0,5.0,3.0,3.0,5.0,2.0
-8.05955,-34.95177328767124,1.7840895067570568,1.074826070529988,0.8215430456883484,8.0,5.0,4.0,3.0,4.0,1.0
-8.05955,-34.95157136986302,1.7845400499424675,1.0587268627691078,0.8399345849825743,8.0,5.0,4.0,3.0,4.0,1.0
-8.05955,-34.9513694520548,1.785267986791821,1.042854164339626,0.8585091626458045,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.95116753424658,1.7862729781775322,1.027218475440627,0.8772551520559023,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.95096561643836,1.7875545568064546,1.0118307835641254,0.8961617964620662,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.95076369863014,1.789112128302034,0.9967025749552936,0.915219139459974,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.95056178082192,1.790944972579006,0.9818458439858548,0.9344179606550048,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.9503598630137,1.793052245491232,0.9672730999338748,0.9537497162897858,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.950157945205476,1.795432980761322,0.9529973706328629,0.9732064845745854,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.94995602739726,1.7980860921648762,0.9390322023694369,0.9927809154479332,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.949754109589044,1.8010103759714444,0.9253916553618616,1.0124661844742164,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.949552191780825,1.804204513619112,0.912090294112473,1.0322559505744051,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.949350273972605,1.8076670746182852,0.8991431718533419,1.0521443173132456,8.0,4.0,4.0,4.0,4.0,0.0
-8.05955,-34.949148356164386,1.8113965196615702,0.8865658082966794,1.0721257974602507,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05955,-34.948946438356174,1.8153912039317963,0.8743741598798798,1.0921952805559292,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05955,-34.94874452054795,1.819649380587551,0.8625845816866952,1.1123480032461168,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05955,-34.94854260273973,1.8241692044108664,0.8512137802789093,1.1325795221306822,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05955,-34.94834068493151,1.8289487356008216,0.8402787567138676,1.1528856889293224,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05955,-34.94813876712329,1.833985943697204,0.8297967391519883,1.1732626277580236,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05955,-34.94793684931507,1.8392787116123133,0.8197851045877294,1.1937067143206774,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05955,-34.94773493150685,1.8448248397584048,0.8102612894464086,1.2142145568648095,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05955,-34.94753301369863,1.8506220502513693,0.8012426890281621,1.2347829787274522,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05955,-34.94733109589041,1.8566679911743893,0.7927465460919454,1.2554090023465796,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05955,-34.94712917808219,1.862960240883952,0.7847898292121521,1.2760898345955491,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05955,-34.94692726027397,1.8694963123437345,0.7773891019322792,1.2968228533269022,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05955,-34.946725342465754,1.8762736574667929,0.7705603841665771,1.3176055950189656,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05955,-34.94652342465753,1.8832896714610896,0.764319007721256,1.3384357434373708,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05955,-34.94632150684932,1.8905416971452107,0.7586794682583441,1.3593111191908067,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05955,-34.946119589041096,1.8980270292459083,0.7536552763850739,1.3802296701527768,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05955,-34.94591767123288,1.9057429186379389,0.7492588109352691,1.4011894626180792,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05955,-34.94571575342466,1.913686576536625,0.7455011777182918,1.4221886731724818,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05955,-34.94551383561644,1.9218551786185891,0.7423920771866789,1.4432255811933803,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05955,-34.94531191780822,1.930245869063272,0.7399396844568227,1.464298561936605,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.95985,1.966781160006124,1.820943077222668,0.4988009574955852,8.0,8.0,2.0,0.0,6.0,6.0
-8.05938987804878,-34.959648082191784,1.9570909571675963,1.8005152447300858,0.4896220543561893,8.0,8.0,2.0,0.0,6.0,6.0
-8.05938987804878,-34.95944616438357,1.947606908844336,1.7801312740897781,0.4812981005381223,8.0,8.0,2.0,0.0,6.0,6.0
-8.05938987804878,-34.959244246575345,1.9383320411124336,1.7597926894757254,0.4738741516546578,8.0,8.0,2.0,0.0,6.0,6.0
-8.05938987804878,-34.959042328767126,1.9292693708513984,1.7395010828806958,0.4673930959989465,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.958840410958906,1.9204219022095683,1.7192581176818782,0.4618946257797603,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.958638493150694,1.9117926229446016,1.6990655324475556,0.4574141766677199,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.95843657534247,1.9033845006402792,1.6789251449512663,0.4539818908993142,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.95823465753425,1.8952004788123216,1.658838856433,0.4516216669605882,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.958032739726036,1.887243472893693,1.6388086561091806,0.4503503607503459,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.95783082191781,1.8795163661285057,1.6188366259526143,0.45017719771546705,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.95762890410959,1.872022005369406,1.5989249457611017,0.4511034424762774,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.95742698630137,1.8647631967915053,1.5790758985214255,0.4531223530578026,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.957225068493145,1.8577427015344896,1.5592918760987051,0.4562194235487545,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.957023150684925,1.8509632312875728,1.5395753852634684,0.4603728951204013,8.0,7.0,2.0,1.0,6.0,5.0
-8.05938987804878,-34.95682123287671,1.8444274438241464,1.5199290540737418,0.4655544943992424,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.95661931506849,1.8381379385020384,1.5003556386347257,0.4717303429979604,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.956417397260275,1.832097251749112,1.4808580302706598,0.4788619741745347,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.956215479452055,1.826307852540052,1.461439263094395,0.4869073922949096,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.956013561643836,1.8207721378881536,1.4421025220392574,0.495822116880726,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.955811643835624,1.8154924283644411,1.4228511513493214,0.5055601636406281,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.9556097260274,1.810470963661624,1.4036886635510273,0.5160749277854346,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.95540780821918,1.8057098982268565,1.3846187489453228,0.5273199481080707,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.95520589041096,1.8012112969675518,1.3656452856227916,0.5392495422459551,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.95500397260274,1.7969771310646498,1.34677235003617,0.5518193132788133,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.95480205479452,1.7930092739007484,1.3280042281408604,0.5649865350245348,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.9546001369863,1.7893094971230463,1.3093454271367602,0.5787104280774972,8.0,6.0,2.0,2.0,6.0,4.0
-8.05938987804878,-34.954398219178074,1.785879466865617,1.290800687802086,0.5929523411951245,8.0,6.0,3.0,2.0,5.0,3.0
-8.05938987804878,-34.954196301369855,1.7827207401408884,1.2723749974597451,0.6076758534343624,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.95399438356164,1.7798347614204588,1.2540736035639286,0.6228468120817641,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.95379246575342,1.7772228594269357,1.2359020279189092,0.638433320206222,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.953590547945204,1.7748862441454585,1.2178660815277544,0.6544056860502842,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.953388630136985,1.7728260040741224,1.1999718800543724,0.6707363446810113,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.953186712328765,1.7710431037279653,1.1822258598803526,0.6873997605268759,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.952984794520546,1.7695383814093786,1.1646347947239817,0.7043723177586964,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.95278287671233,1.768312547254318,1.147205812772171,0.7216322039881792,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.95258095890411,1.767366181568048,1.1299464142593385,0.7391592914902001,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.95237904109589,1.7666997334580383,1.1128644894150594,0.7569350190835883,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.952177123287676,1.7663135197715734,1.0959683366636856,0.7749422769403991,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.95197520547946,1.7662077243442664,1.079266680946061,0.7931652958997006,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.95177328767124,1.7663823975614108,1.0627686919996002,0.8115895423214403,8.0,5.0,3.0,3.0,5.0,2.0
-8.05938987804878,-34.95157136986302,1.7668374562404698,1.04648400238746,0.8302016190946048,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.9513694520548,1.7675726838267516,1.0304227250380693,0.8489891731020992,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.95116753424658,1.7685877309098754,1.014595470007759,0.8679408092129333,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.95096561643836,1.7698821160505906,0.9990133601256102,0.8870460107043029,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.95076369863014,1.7714552269201087,0.9836880451256124,0.9062950658976074,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.95056178082192,1.7733063217416676,0.968631713810566,0.9256790007283754,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.9503598630137,1.7754345310237651,0.9538571037317792,0.94518951690409,8.0,4.0,4.0,4.0,4.0,0.0
