7,8,9,10,11,12
21.66,21.4,14.21,77.63,88.28,39.37
10.12,93.25,29.46,109.8,42.13,31.54
29.75,59.28,6.57,5.89,92.82,11.99
15.09,78.9,101.22,67.28,72.88,17.58
75.8,116.27,30.42,3.25,104.99,57.4
13.59,93.25,13.21,25.87,42.13,29.44
11.56,93.25,10.47,44.48,83.07,184.93
23.97,21.4,24.46,45.83,88.28,121.77
10.23,93.25,68.4,17.92,42.13,23.35
20.67,89.89,99.75,38.05,81.69,61.33
14.95,78.9,101.2,116.65,72.88,34.57
6.42,21.4,117.18,55.13,88.28,79.03
9.62,83.9,48.6,7.22,83.71,98.68
14.9,78.9,52.4,63.7,72.88,14.72
49.44,59.28,14.59,93.33,112.33,42.06
59.48,85.87,5.66,24.03,84.77,89.15
49.97,93.25,26.85,126.17,83.07,53.25
130.78,112.33,10.4,7.06,84.77,109.9
10.35,78.9,6.42,114.51,72.88,31.02
22.25,21.4,256.59,51.19,88.28,61.18
80.18,21.4,20.83,42.74,88.28,22.9
74.88,83.9,25.23,1.34,83.71,9.72
3.42,83.9,50.95,12.77,83.71,10.06
34.08,89.89,81.96,95.78,81.69,3.97
31.08,59.28,21.55,21.78,101.93,49.37
35.72,83.9,126.21,24.99,83.71,28.8
34.76,78.9,25.43,5.85,72.88,9.52
30.95,21.4,16.93,59.07,88.28,83.28
158.04,59.28,11.33,4.5,92.82,11.69
23.3,93.25,82.38,45.24,83.07,113.88
4.37,59.28,99.22,36.29,92.82,59.51
30.97,30.59,7.98,10.25,104.36,180.03
6.93,93.25,33.6,26.0,42.13,12.94
6.18,83.9,24.73,4.21,83.71,24.54
28.46,83.9,88.49,7.08,83.71,17.17
5.83,93.25,9.77,41.61,42.13,63.68
69.16,93.25,30.29,28.52,42.13,40.19
6.44,59.28,40.0,101.19,92.82,89.67
4.83,116.27,4.83,8.02,64.27,78.38
106.33,143.38,56.59,95.15,84.77,28.17
18.52,21.4,21.22,5.04,88.28,59.42
117.16,89.89,5.74,0.98,81.69,47.64
121.12,93.25,86.78,15.99,83.07,13.61
41.41,78.9,16.34,76.56,72.88,66.68
25.54,83.9,47.6,7.99,83.71,80.86
139.66,78.9,64.44,29.3,72.88,41.23
52.38,59.28,19.51,119.62,92.82,44.24
3.2,93.25,87.56,81.96,83.07,15.82
34.16,116.27,7.69,46.55,64.27,98.46
45.72,83.9,34.89,49.53,83.71,88.34
16.37,116.27,104.54,56.03,64.27,21.58
56.27,71.28,37.77,8.23,124.19,79.43
2.1,30.59,14.76,94.45,104.36,19.96
54.58,93.25,6.76,18.59,83.07,5.83
46.83,78.9,12.82,66.62,72.88,166.67
70.13,93.25,21.8,4.78,42.13,23.06
35.02,21.4,1.19,17.67,88.28,141.44
55.5,71.28,20.3,50.97,124.19,39.56
105.17,59.28,15.52,34.28,84.77,90.6
5.12,30.59,44.4,10.11,104.36,117.99
29.19,71.28,33.14,2.87,124.19,45.32
72.18,71.28,46.38,35.32,124.19,69.68
66.94,78.9,68.42,25.97,72.88,24.63
49.07,71.28,33.18,16.3,124.19,11.46
74.04,21.4,23.8,11.94,88.28,6.33
14.24,116.27,71.04,20.85,64.27,7.69
11.24,30.59,41.49,60.25,104.36,39.75
41.78,21.4,10.24,27.25,88.28,13.44
22.87,59.28,13.09,24.03,92.82,14.49
9.45,143.38,76.42,108.59,84.77,33.04
91.78,59.28,7.74,19.71,92.82,17.83
139.34,71.28,11.87,75.63,124.19,19.95
20.39,83.9,16.26,64.33,96.42,30.56
13.57,116.27,65.43,84.71,64.27,113.96
2.5,89.89,68.48,17.44,81.69,27.49
