lat_pred,lon_pred,idx
-8.05618743902439,-34.95742698630137,6900.0
-8.04962243902439,-34.95500397260274,8895.0
-8.049302195121951,-34.952984794520546,8930.0
-8.050262926829268,-34.95480205479452,8807.0
-8.051223658536586,-34.95237904109589,8520.0
-8.047540853658537,-34.94531191780822,9482.0
-8.048981951219512,-34.9503598630137,9030.0
-8.05922975609756,-34.94773493150685,6657.0
-8.053785609756098,-34.949148356164386,7650.0
-8.047540853658537,-34.94531191780822,9425.0
-8.051063536585367,-34.95944616438357,8508.0
-8.050102804878048,-34.94591767123288,8795.0
-8.053945731707318,-34.94834068493151,7617.0
-8.053625487804878,-34.95399438356164,7646.0
-8.05618743902439,-34.95661931506849,6942.0
-8.058429146341464,-34.94995602739726,6709.0
-8.053785609756098,-34.953590547945204,7817.0
-8.057628536585367,-34.95258095890411,6725.0
-8.055226707317075,-34.95237904109589,7323.0
-8.048501585365852,-34.95076369863014,9179.0
-8.055707073170732,-34.95399438356164,6988.0
-8.051704024390245,-34.95762890410959,8314.0
-8.051223658536586,-34.958840410958906,8502.0
-8.052184390243902,-34.95661931506849,7934.0
-8.057628536585367,-34.95237904109589,6740.0
-8.05618743902439,-34.956417397260275,6819.0
-8.052184390243902,-34.94813876712329,7994.0
-8.047060487804877,-34.94531191780822,9593.0
-8.053945731707318,-34.94834068493151,7621.0
-8.054746341463414,-34.953590547945204,7414.0
-8.051383780487804,-34.95096561643836,8449.0
-8.050423048780488,-34.94753301369863,8760.0
-8.047060487804877,-34.94531191780822,9579.0
-8.054426097560977,-34.956417397260275,7514.0
-8.048181341463414,-34.95076369863014,9381.0
-8.050102804878048,-34.95056178082192,8654.0
-8.052184390243902,-34.95661931506849,7946.0
-8.050102804878048,-34.94753301369863,8817.0
-8.052024268292682,-34.94591767123288,7877.0
-8.058909512195122,-34.94632150684932,6697.0
-8.055546951219512,-34.95379246575342,7085.0
-8.051063536585367,-34.95056178082192,8590.0
-8.057788658536586,-34.95177328767124,6732.0
-8.048981951219512,-34.952984794520546,9056.0
-8.055867195121952,-34.95076369863014,7140.0
-8.055226707317075,-34.953590547945204,7281.0
-8.054105853658537,-34.949350273972605,7612.0
-8.055226707317075,-34.953590547945204,7304.0
-8.048661707317072,-34.95096561643836,9127.0
-8.051543902439024,-34.958032739726036,8365.0
-8.050583170731707,-34.953186712328765,8641.0
-8.055546951219512,-34.95379246575342,7138.0
-8.051223658536586,-34.959042328767126,8443.0
-8.053785609756098,-34.94834068493151,7637.0
-8.052344512195122,-34.94692726027397,7926.0
-8.056827926829268,-34.95520589041096,6765.0
-8.051864146341464,-34.952984794520546,8494.0
-8.052344512195122,-34.94834068493151,7863.0
-8.051543902439024,-34.94995602739726,8370.0
-8.05266475609756,-34.953388630136985,7895.0
-8.055707073170732,-34.95500397260274,6972.0
-8.049142073170731,-34.952984794520546,9004.0
-8.048021219512195,-34.95076369863014,9277.0
-8.051063536585367,-34.95056178082192,8407.0
-8.051864146341464,-34.94793684931507,8237.0
-8.054426097560977,-34.95944616438357,7519.0
-8.052184390243902,-34.94813876712329,7987.0
-8.058589268292682,-34.948946438356174,6675.0
-8.055546951219512,-34.956417397260275,7066.0
-8.047380731707317,-34.95399438356164,9456.0
-8.055226707317075,-34.953590547945204,7321.0
-8.04962243902439,-34.9556097260274,8906.0
-8.054105853658537,-34.95944616438357,7661.0
-8.055226707317075,-34.953590547945204,7377.0
-8.04946231707317,-34.94753301369863,8944.0
-8.053785609756098,-34.94813876712329,7664.0
-8.048341463414634,-34.95237904109589,9257.0
-8.054906463414634,-34.949754109589044,7230.0
-8.059069634146342,-34.94773493150685,6648.0
-8.04962243902439,-34.959648082191784,8867.0
-8.055867195121952,-34.95076369863014,7239.0
-8.052024268292682,-34.94692726027397,8164.0
-8.057628536585367,-34.95258095890411,6727.0
-8.053465365853658,-34.95399438356164,7839.0
-8.058909512195122,-34.94632150684932,6683.0
-8.055226707317075,-34.953590547945204,7224.0
-8.048821829268293,-34.952984794520546,9044.0
-8.050102804878048,-34.95056178082192,8667.0
-8.048821829268293,-34.952984794520546,9051.0
-8.050102804878048,-34.952984794520546,8835.0
-8.055226707317075,-34.953590547945204,7173.0
-8.05618743902439,-34.95076369863014,6863.0
-8.051383780487804,-34.95985,8196.0
-8.050102804878048,-34.95056178082192,8809.0
-8.04962243902439,-34.95500397260274,8903.0
-8.050583170731707,-34.95379246575342,8670.0
-8.05634756097561,-34.95682123287671,6847.0
-8.04658012195122,-34.949148356164386,9650.0
-8.058589268292682,-34.948946438356174,6681.0
-8.051383780487804,-34.94773493150685,8595.0
-8.048341463414634,-34.95076369863014,9281.0
-8.052184390243902,-34.95985,7902.0
-8.055546951219512,-34.958032739726036,7276.0
-8.055066585365854,-34.959244246575345,7655.0
-8.051704024390245,-34.949148356164386,8079.0
-8.051704024390245,-34.948946438356174,8307.0
-8.050423048780488,-34.954196301369855,8705.0
-8.05618743902439,-34.95076369863014,7063.0
-8.05618743902439,-34.95500397260274,7207.0
-8.052184390243902,-34.94813876712329,8056.0
-8.05938987804878,-34.946119589041096,6620.0
-8.050423048780488,-34.95480205479452,8740.0
-8.050102804878048,-34.953186712328765,8823.0
-8.048501585365852,-34.958840410958906,9311.0
-8.050423048780488,-34.95379246575342,8767.0
-8.050423048780488,-34.954196301369855,8715.0
-8.050423048780488,-34.95480205479452,8738.0
-8.05634756097561,-34.95076369863014,6851.0
-8.051864146341464,-34.94834068493151,8260.0
-8.052344512195122,-34.95540780821918,7860.0
-8.050903414634147,-34.953186712328765,8615.0
-8.054906463414634,-34.959244246575345,7392.0
-8.050903414634147,-34.95500397260274,8503.0
-8.051383780487804,-34.95056178082192,8441.0
-8.05922975609756,-34.94712917808219,6632.0
-8.056667804878048,-34.9556097260274,6770.0
-8.04658012195122,-34.95056178082192,9502.0
-8.051704024390245,-34.95520589041096,8234.0
-8.054906463414634,-34.949754109589044,7338.0
-8.049142073170731,-34.95985,8994.0
-8.05602731707317,-34.95500397260274,6870.0
-8.048821829268293,-34.952984794520546,9090.0
-8.049302195121951,-34.9503598630137,8971.0
-8.049142073170731,-34.9503598630137,9033.0
-8.052344512195122,-34.95540780821918,7894.0
-8.051383780487804,-34.95985,8156.0
-8.055546951219512,-34.95520589041096,7090.0
-8.054105853658537,-34.95944616438357,7759.0
-8.047380731707317,-34.95399438356164,9464.0
-8.051383780487804,-34.95985,8473.0
-8.056667804878048,-34.95540780821918,7156.0
-8.058589268292682,-34.949148356164386,6673.0
-8.052504634146342,-34.94854260273973,7933.0
-8.04978256097561,-34.9503598630137,8743.0
-8.04658012195122,-34.946119589041096,9628.0
-8.052184390243902,-34.94753301369863,8029.0
-8.055546951219512,-34.9546001369863,6990.0
-8.052344512195122,-34.94834068493151,7956.0
-8.051383780487804,-34.94773493150685,8463.0
-8.050423048780488,-34.954196301369855,8709.0
-8.055546951219512,-34.9546001369863,6987.0
-8.051543902439024,-34.94773493150685,8609.0
-8.050743292682926,-34.959648082191784,8737.0
-8.052184390243902,-34.94793684931507,8018.0
-8.057148170731706,-34.954196301369855,6748.0
-8.048501585365852,-34.95096561643836,9286.0
-8.05618743902439,-34.95500397260274,7202.0
-8.050423048780488,-34.94753301369863,8763.0
-8.047220609756097,-34.94531191780822,9530.0
-8.050743292682926,-34.959648082191784,8583.0
-8.05618743902439,-34.956417397260275,6839.0
-8.052344512195122,-34.94692726027397,7929.0
-8.050423048780488,-34.954196301369855,8722.0
-8.047380731707317,-34.95399438356164,9410.0
-8.051383780487804,-34.953186712328765,8466.0
-8.055546951219512,-34.9546001369863,7000.0
-8.05602731707317,-34.95056178082192,6979.0
-8.05618743902439,-34.95056178082192,7288.0
-8.056667804878048,-34.94652342465753,6762.0
-8.053785609756098,-34.94834068493151,7641.0
-8.047861097560974,-34.94753301369863,9389.0
-8.054906463414634,-34.95783082191781,7360.0
-8.054906463414634,-34.95783082191781,7339.0
-8.054265975609756,-34.957023150684925,7599.0
-8.051223658536586,-34.953186712328765,8515.0
-8.055546951219512,-34.95520589041096,7105.0
-8.054586219512197,-34.953590547945204,7442.0
-8.056667804878048,-34.94652342465753,6746.0
-8.048661707317072,-34.959648082191784,9068.0
-8.049142073170731,-34.956417397260275,8991.0
-8.05618743902439,-34.95076369863014,7131.0
-8.051063536585367,-34.953186712328765,8485.0
-8.054426097560977,-34.949552191780825,7722.0
-8.04658012195122,-34.94531191780822,9598.0
-8.055707073170732,-34.95520589041096,7154.0
-8.048661707317072,-34.94551383561644,9274.0
-8.048501585365852,-34.95237904109589,9251.0
-8.054586219512197,-34.959244246575345,7694.0
-8.053465365853658,-34.948946438356174,7726.0
-8.049302195121951,-34.95985,8964.0
-8.054105853658537,-34.95742698630137,7554.0
-8.04658012195122,-34.946725342465754,9638.0
-8.055226707317075,-34.953590547945204,7282.0
-8.04658012195122,-34.94793684931507,9623.0
-8.054906463414634,-34.95783082191781,7408.0
-8.055707073170732,-34.956417397260275,7268.0
-8.052344512195122,-34.95540780821918,7847.0
-8.051704024390245,-34.95520589041096,8104.0
-8.053465365853658,-34.948946438356174,7760.0
-8.053945731707318,-34.955811643835624,7561.0
-8.048661707317072,-34.95056178082192,9099.0
-8.047540853658537,-34.94753301369863,9423.0
-8.054426097560977,-34.95944616438357,7490.0
-8.055546951219512,-34.95379246575342,7373.0
-8.051223658536586,-34.94773493150685,8559.0
-8.05266475609756,-34.953388630136985,7869.0
-8.051383780487804,-34.95985,8232.0
-8.054426097560977,-34.95399438356164,7516.0
-8.057308292682926,-34.953590547945204,6744.0
-8.055867195121952,-34.958638493150694,6960.0
-8.050423048780488,-34.95379246575342,8718.0
-8.05922975609756,-34.94733109589041,6643.0
-8.051704024390245,-34.949148356164386,8334.0
-8.052024268292682,-34.952177123287676,8141.0
-8.048501585365852,-34.95177328767124,9215.0
-8.055546951219512,-34.9546001369863,7004.0
-8.056988048780488,-34.9546001369863,6753.0
-8.055066585365854,-34.959244246575345,7687.0
-8.054265975609756,-34.957023150684925,7566.0
-8.051543902439024,-34.950157945205476,8376.0
-8.048341463414634,-34.959042328767126,9279.0
-8.052344512195122,-34.95540780821918,7918.0
-8.055546951219512,-34.9546001369863,7049.0
-8.054426097560977,-34.956013561643836,7447.0
-8.048981951219512,-34.957225068493145,9078.0
-8.051864146341464,-34.94773493150685,8248.0
-8.04658012195122,-34.94874452054795,9621.0
-8.052344512195122,-34.953388630136985,8605.0
-8.051864146341464,-34.953186712328765,8405.0
-8.053945731707318,-34.94834068493151,7628.0
-8.051864146341464,-34.94793684931507,8219.0
-8.049302195121951,-34.956013561643836,8986.0
-8.052504634146342,-34.953388630136985,7947.0
-8.050102804878048,-34.953186712328765,8876.0
-8.055707073170732,-34.959042328767126,7349.0
-8.048661707317072,-34.95096561643836,9144.0
-8.051704024390245,-34.95985,8108.0
-8.053625487804878,-34.94854260273973,7716.0
-8.048981951219512,-34.94571575342466,8840.0
-8.050262926829268,-34.95480205479452,8777.0
-8.051383780487804,-34.95096561643836,8523.0
-8.052184390243902,-34.94834068493151,8062.0
-8.055066585365854,-34.959244246575345,7428.0
-8.058909512195122,-34.94632150684932,6707.0
-8.046900365853658,-34.95056178082192,9544.0
-8.047060487804877,-34.94753301369863,9504.0
-8.053945731707318,-34.955811643835624,7582.0
-8.054586219512197,-34.959244246575345,7783.0
-8.048501585365852,-34.95116753424658,9163.0
-8.05618743902439,-34.95742698630137,6951.0
-8.048821829268293,-34.94692726027397,9082.0
-8.048981951219512,-34.9503598630137,9017.0
-8.053625487804878,-34.94652342465753,7723.0
-8.058909512195122,-34.94632150684932,6624.0
-8.047380731707317,-34.95399438356164,9460.0
-8.052184390243902,-34.94813876712329,8009.0
-8.05618743902439,-34.95076369863014,6864.0
-8.04658012195122,-34.95379246575342,9661.0
-8.049302195121951,-34.9503598630137,9046.0
-8.050583170731707,-34.94591767123288,8757.0
-8.05922975609756,-34.946119589041096,6618.0
-8.048661707317072,-34.954398219178074,9278.0
-8.055867195121952,-34.958638493150694,6944.0
-8.05634756097561,-34.95056178082192,7253.0
-8.04658012195122,-34.94551383561644,9586.0
-8.052344512195122,-34.94834068493151,7950.0
-8.058589268292682,-34.949148356164386,6670.0
-8.054426097560977,-34.953590547945204,7533.0
-8.053785609756098,-34.949350273972605,7550.0
-8.051864146341464,-34.95258095890411,8529.0
-8.048661707317072,-34.94692726027397,9130.0
