lat_pred,lon_pred,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,idx
-8.05555544172349,-34.95496202196571,-94.58857142857141,-97.10285714285708,-94.05857142857141,-96.1283333333333,-92275,-90.41142857142859,-77.9516666666667,-73.19,-94.7525,7080.0
-8.047433328882576,-34.94756526647934,-103.01,-84.49857142857141,-97.59142857142858,-95.01,-98.8375,-97.33285714285721,-100.65,-101.62,-94.4075,9438.0
-8.049941520885586,-34.945962698491755,-95.20285714285721,-86.28,-93.03,-53.33,-84965,-81.08,-90.8266666666667,-94.34200000000001,-98.9125,8840.0
-8.053927026093893,-34.948268754799365,-92.4226190476191,-90.24214285714292,-93.0646428571429,-80.3592857142857,-87.1375,-86.91095238095241,-91.3383333333333,-93.24799999999999,-97255,7629.0
-8.052222588122902,-34.94816429489871,-86.22714285714291,-86.23142857142858,-87.8857142857143,-72.83,-80.56625,-85.7371428571429,-90.1916666666667,-90704,-97.6,7988.0
-8.054355895756796,-34.94650986317406,-83.45047619047621,-84.60214285714291,-85.27178571428571,-66.54,-67.5475,-74.78,-91.6483333333333,-88616,-97255,7489.0
-8.049436063255392,-34.945702623153075,-97.2157142857143,-87.4,-94.34142857142858,-65.77,-85.0275,-84.46,-90.4616666666667,-96416,-96.3575,8963.0
-8.052961582295566,-34.95391353354097,-87.1161904761905,-96.68857142857142,-81.28,-100.59333333333299,-98.6375,-96.22142857142859,-98.4983333333333,-99.51799999999999,-97765,7805.0
-8.048541635724765,-34.95120539002495,-76.39,-89.43428571428568,-82.26,-85.33,-96.72,-87.4442857142857,-89.9866666666667,-98012,-98.6525,9185.0
-8.049560868027857,-34.95476454050815,-80.2464285714286,-98.28,-80.94142857142859,-97.03,-97.7525,-90.39,-80885,-99.9346666666667,-97.6,8893.0
-8.050422386583765,-34.953767351829676,-82.51,-95.78642857142859,-89.08,-94.77833333333332,-98.5125,-96.90142857142858,-86.5791666666667,-98.04799999999999,-98.1,8739.0
-8.048572955796024,-34.95081921033702,-90.45,-87.53142857142859,-77.75,-75.13,-90.8225,-87.9076190476191,-91375,-98012,-96.7925,9138.0
-8.05098518108402,-34.94764974236853,-95.75714285714292,-95.67714285714293,-96.70142857142858,-83.52,-97.0275,-94.37857142857142,-97.8733333333333,-98.57799999999999,-98.9125,8570.0
-8.047233185601355,-34.950625028778646,-88.5557142857143,-80.3157142857143,-87.0242857142857,-92.5083333333333,-92.04,-90.20142857142858,-90.0516666666667,-99.03399999999999,-94.4075,9488.0
-8.048524972893853,-34.94695280510542,-102.25,-88.79476190476191,-97515,-82.75,-98645,-97.48303571428568,-96.5633333333333,-101648,-96.56,9238.0
-8.055579964269203,-34.95438448807333,-91.0242857142857,-96.2,-96.28,-96.0116666666667,-91935,-92.6557142857143,-77.0233333333333,-71.05199999999998,-96.16,7051.0
-8.048183683630317,-34.95901963113435,-77.95,-90.59714285714293,-72.26,-96.4233333333333,-93.03,-96.6567857142857,-84.17,-106544,-87.96,9307.0
-8.053686715997795,-34.94837527538389,-86.44857142857141,-89.7328571428571,-92.0857142857143,-80.83,-82.0125,-80.41857142857141,-91.2483333333333,-94.64,-97255,7678.0
-8.055259427763936,-34.9515171141546,-91.7171428571429,-93.55,-97.03,-95.02,-84895,-90.33,-90.2183333333333,-78122,-95.78,7297.0
-8.051710313367925,-34.94935172811103,-91.35,-90.4171428571429,-91.2857142857143,-80.77,-93.66,-86.4728571428571,-85.75,-96.14200000000001,-97.6,8324.0
-8.05137093693366,-34.95058153142412,-87.58,-92.57714285714279,-90.20857142857142,-84.44,-94.5,-92.7,-92.7283333333333,-94.73,-95.9225,8454.0
-8.048900432003787,-34.95969650608246,-81.2371428571429,-88.4828571428571,-76.47571428571429,-85.14,-92.46,-91.9842857142857,-79.87,-104.36200000000001,-79.21,9043.0
-8.055302954258252,-34.95369490775211,-94.77,-103.33,-92.65714285714279,-98.03,-94.0525,-93.67,-83185,-80634,-96.28,7269.0
-8.055875489755774,-34.958267373715884,-90.22142857142859,-99.2842857142857,-90.09,-95.9383333333333,-92.8475,-90.74285714285708,-82.45,-89988,-56.16,6913.0
-8.050691087349513,-34.95972515442558,-89.31142857142858,-95.1142857142857,-94.02,-99.26,-93.9625,-92.15,-89.1316666666667,-102.68799999999999,-84.83,8627.0
-8.055120349104559,-34.95322155622439,-88.28,-95.5728571428572,-92.2842857142857,-94.4,-91135,-82.2,-76.5,-78.13,-95.6025,7366.0
-8.052517330616372,-34.95546071162277,-86.8842857142857,-97.00714285714292,-91.70714285714293,-98.28,-96.1425,-94.0128571428571,-65.2516666666667,-86.57600000000002,-96.6,7907.0
-8.056652369065215,-34.955625521421005,-95.49142857142859,-99.0457142857143,-95.07,-99.0533333333333,-91565,-93.09714285714293,-86.9683333333333,-57.94,-85.53,6771.0
-8.05257902759956,-34.95978987135611,-90.53875,-98.2457142857143,-92.80285714285708,-98.85,-98.2575,-93.62,-84.5666666666667,-98116,-68.16,7905.0
-8.05129657411179,-34.95060762669016,-88.59142857142858,-92.57714285714279,-90.04857142857142,-84.26,-94.8675,-88.71,-92.7283333333333,-95286,-95.9225,8470.0
-8.048979317749103,-34.95034931292591,-95.14,-85.2414285714286,-83.69,-85.51,-91.5525,-88.01428571428568,-93.45,-97.49600000000001,-96.7925,9052.0
-8.059427073955918,-34.946460948546225,-93.93,-88.37558441558441,-92.9100833333333,-91.18,-78.3625,-71.3453571428571,-90.46194444444441,-90.5772727272727,-95.8575,6625.0
-8.055289285880416,-34.951399477273725,-90.11142857142859,-91.88714285714279,-90.9957142857143,-95.85,-83255,-86.16857142857141,-92.39,-83.46799999999998,-99.43,7287.0
-8.05539618160925,-34.95614868115521,-87.1766666666666,-98.56857142857142,-90.43035714285708,-96.1066666666667,-93.49,-92.61,-87905,-75.39,-94.2117857142857,7214.0
-8.054301903018455,-34.95668855627601,-89.2633333333333,-99.41857142857141,-89.2142857142857,-103.37583333333299,-101.66,-95.78,-78.3476666666667,-81.3505714285714,-91.1608333333333,7553.0
-8.053547555789876,-34.946526842970826,-85.99,-86.71142857142858,-84.4657142857143,-65.92,-70.9175,-91.99,-90685,-86816,-97255,7723.0
-8.055184031975191,-34.95350397262496,-85.46285714285709,-96.14,-90.88285714285708,-99.79,-89335,-92.82857142857141,-84.8166666666667,-81508,-97.48,7328.0
-8.0555551882394,-34.95481154078482,-94.65142857142858,-97.3557142857143,-94.98857142857142,-95.25,-95.15,-90.84857142857142,-75.3566666666667,-69134,-94.99,7098.0
-8.05114460146822,-34.94772964863519,-93.5428571428572,-86.97,-102.39,-91.59,-87705,-93.0771428571429,-96825,-99818,-97.6,8442.0
-8.053564843410765,-34.95350529712928,-87.37857142857142,-96.3742857142857,-91.0328571428571,-97.1133333333333,-97655,-96.61,-92.2683333333333,-92.13,-96145,7685.0
-8.05221770145323,-34.94791461306278,-88.48142857142858,-85.17,-89.53625,-59.98,-79.39,-78.67,-89.28,-90.96,-97.6,8000.0
-8.051574727342404,-34.95981785045056,-83.95,-95.70142857142858,-86.28476190476191,-99.26,-101.18,-92.7617857142857,-90.68,-99194,-90.83,8379.0
-8.051286126025307,-34.9477177268363,-94.0242857142857,-92.7,-96.52,-77.19,-89.73,-93.72714285714292,-98.1016666666667,-98.57799999999999,-97.6,8481.0
-8.05494841535029,-34.9536366828674,-90.71,-95.3728571428571,-88.52,-96.72,-90.6525,-91.98142857142858,-89715,-78582,-97.69,7398.0
-8.0556074164749,-34.95434031060898,-90.45,-96.2,-92.55285714285708,-96.58,-87.89,-92.0642857142857,-78.6366666666667,-68.34,-94.5675,7033.0
-8.054540548204546,-34.9536357571184,-89.71142857142858,-95.3957142857143,-93.29,-93.35,-88.8325,-89.93428571428568,-90.9433333333333,-75.64,-95.5475,7464.0
-8.046486224366719,-34.948503163613005,-93.69,-79.33,-92.9723809523809,-89.84,-100.9825,-101.76,-95.4916666666667,-101288,-94.4075,9620.0
-8.046456002961941,-34.945586507488656,-89.2671428571429,-96.35,-92.25357142857142,-96.79,-90.9375,-97.85,-87.0581666666667,-83.32,-96.92,9596.0
-8.05537530700376,-34.95068992726548,-91.4642857142857,-92.1657142857143,-86.34,-81.33,-71.09,-72.9,-86.23083333333332,-82.13,-96.3725,7243.0
