CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-SVR.py
MEM 0.078125 1604419741.4447
MEM 7.687500 1604419741.5458
MEM 16.535156 1604419741.6463
MEM 25.585938 1604419741.7466
MEM 32.386719 1604419741.8466
MEM 38.890625 1604419741.9477
MEM 48.921875 1604419742.0479
MEM 55.593750 1604419742.1480
MEM 56.457031 1604419742.2482
MEM 56.550781 1604419742.3486
MEM 64.324219 1604419742.4496
MEM 73.050781 1604419742.5497
MEM 78.292969 1604419742.6505
MEM 83.800781 1604419742.7506
MEM 90.410156 1604419742.8507
MEM 103.367188 1604419742.9514
MEM 109.429688 1604419743.0523
MEM 114.355469 1604419743.1525
MEM 118.519531 1604419743.2526
MEM 124.601562 1604419743.3535
MEM 124.898438 1604419743.4538
MEM 126.890625 1604419743.5541
MEM 133.589844 1604419743.6547
MEM 136.203125 1604419743.7553
MEM 138.792969 1604419743.8554
MEM 144.203125 1604419743.9556
MEM 149.472656 1604419744.0563
MEM 154.503906 1604419744.1565
MEM 158.484375 1604419744.2572
MEM 159.800781 1604419744.3575
MEM 139.015625 1604419744.4581
MEM 139.015625 1604419744.5587
MEM 139.015625 1604419744.6597
MEM 139.015625 1604419744.7598
MEM 139.015625 1604419744.8603
MEM 139.015625 1604419744.9608
MEM 139.015625 1604419745.0615
MEM 139.015625 1604419745.1625
MEM 139.015625 1604419745.2630
MEM 141.234375 1604419745.3637
MEM 145.796875 1604419745.4646
MEM 151.210938 1604419745.5647
MEM 155.835938 1604419745.6647
MEM 158.976562 1604419745.7650
MEM 159.718750 1604419745.8658
MEM 139.230469 1604419745.9666
MEM 139.332031 1604419746.0668
MEM 139.335938 1604419746.1677
MEM 139.343750 1604419746.2687
MEM 139.347656 1604419746.3689
MEM 139.351562 1604419746.4692
MEM 139.359375 1604419746.5699
MEM 139.363281 1604419746.6708
MEM 139.367188 1604419746.7718
MEM 141.214844 1604419746.8726
MEM 145.640625 1604419746.9732
MEM 151.007812 1604419747.0734
MEM 155.917969 1604419747.1743
MEM 159.378906 1604419747.2746
MEM 160.171875 1604419747.3752
MEM 139.742188 1604419747.4753
MEM 139.742188 1604419747.5759
MEM 139.742188 1604419747.6765
MEM 139.742188 1604419747.7776
MEM 139.742188 1604419747.8785
MEM 139.742188 1604419747.9786
MEM 139.742188 1604419748.0786
MEM 139.746094 1604419748.1795
MEM 139.746094 1604419748.2797
MEM 141.863281 1604419748.3800
MEM 146.328125 1604419748.4801
MEM 151.335938 1604419748.5807
MEM 156.039062 1604419748.6816
MEM 159.695312 1604419748.7825
MEM 160.421875 1604419748.8833
MEM 139.132812 1604419748.9840
MEM 139.140625 1604419749.0850
MEM 139.144531 1604419749.1854
MEM 139.148438 1604419749.2854
MEM 139.152344 1604419749.3858
MEM 139.160156 1604419749.4863
MEM 139.164062 1604419749.5864
MEM 139.171875 1604419749.6865
MEM 139.171875 1604419749.7866
MEM 140.835938 1604419749.8879
MEM 145.281250 1604419749.9887
MEM 149.218750 1604419750.0888
MEM 154.179688 1604419750.1895
MEM 157.929688 1604419750.2899
MEM 160.011719 1604419750.3904
MEM 160.101562 1604419750.4913
MEM 140.195312 1604419750.5915
MEM 140.195312 1604419750.6915
MEM 140.195312 1604419750.7917
MEM 140.195312 1604419750.8921
MEM 140.195312 1604419750.9927
MEM 140.195312 1604419751.0929
MEM 140.195312 1604419751.1938
MEM 140.199219 1604419751.2944
MEM 136.500000 1604419751.3948
MEM 142.289062 1604419751.4956
MEM 147.417969 1604419751.5964
MEM 152.367188 1604419751.6974
MEM 156.968750 1604419751.7979
MEM 159.648438 1604419751.8986
MEM 160.148438 1604419751.9990
MEM 140.230469 1604419752.0995
MEM 140.234375 1604419752.2002
MEM 140.242188 1604419752.3008
MEM 140.246094 1604419752.4016
MEM 140.250000 1604419752.5026
MEM 140.257812 1604419752.6030
MEM 140.261719 1604419752.7039
MEM 140.265625 1604419752.8049
MEM 140.269531 1604419752.9049
MEM 139.691406 1604419753.0050
MEM 143.218750 1604419753.1057
MEM 146.812500 1604419753.2060
MEM 150.835938 1604419753.3065
MEM 154.507812 1604419753.4078
MEM 157.578125 1604419753.5084
MEM 159.453125 1604419753.6086
MEM 160.007812 1604419753.7094
MEM 160.039062 1604419753.8094
MEM 140.996094 1604419753.9098
MEM 141.000000 1604419754.0103
MEM 141.003906 1604419754.1108
MEM 141.007812 1604419754.2114
MEM 141.011719 1604419754.3118
MEM 141.015625 1604419754.4124
MEM 141.015625 1604419754.5127
MEM 141.023438 1604419754.6137
MEM 141.027344 1604419754.7138
MEM 141.031250 1604419754.8140
MEM 141.035156 1604419754.9146
MEM 141.035156 1604419755.0153
MEM 141.699219 1604419755.1154
MEM 144.996094 1604419755.2159
MEM 148.066406 1604419755.3165
MEM 151.335938 1604419755.4168
MEM 154.906250 1604419755.5178
MEM 158.105469 1604419755.6179
MEM 159.957031 1604419755.7186
MEM 160.574219 1604419755.8194
MEM 160.593750 1604419755.9198
MEM 141.042969 1604419756.0208
MEM 141.042969 1604419756.1210
MEM 141.042969 1604419756.2216
MEM 141.042969 1604419756.3225
MEM 141.042969 1604419756.4227
MEM 141.042969 1604419756.5229
MEM 141.042969 1604419756.6236
MEM 141.042969 1604419756.7246
MEM 141.042969 1604419756.8248
MEM 141.042969 1604419756.9250
MEM 141.042969 1604419757.0250
MEM 141.042969 1604419757.1259
MEM 141.285156 1604419757.2264
MEM 144.667969 1604419757.3268
MEM 148.406250 1604419757.4274
MEM 151.351562 1604419757.5276
MEM 154.960938 1604419757.6276
MEM 157.796875 1604419757.7285
MEM 159.394531 1604419757.8286
MEM 159.902344 1604419757.9294
MEM 139.925781 1604419758.0296
MEM 141.933594 1604419758.1298
MEM 141.933594 1604419758.2309
MEM 141.933594 1604419758.3388
MEM 141.933594 1604419758.4465
MEM 141.933594 1604419758.5479
MEM 141.933594 1604419758.6484
MEM 141.933594 1604419758.7486
MEM 141.917969 1604419758.8490
MEM 141.917969 1604419758.9495
MEM 141.906250 1604419759.0503
MEM 141.878906 1604419759.1577
MEM 141.839844 1604419759.2587
MEM 141.800781 1604419759.3597
MEM 141.800781 1604419759.4598
MEM 141.800781 1604419759.5598
MEM 141.800781 1604419759.6606
MEM 139.835938 1604419759.7607
MEM 144.832031 1604419759.8607
MEM 145.082031 1604419759.9609
MEM 151.671875 1604419760.0610
MEM 135.632812 1604419760.1620
MEM 32.796875 1604419760.2775
