CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.191406 1604494891.0395
MEM 9.425781 1604494891.1402
MEM 12.820312 1604494891.2410
MEM 16.847656 1604494891.3416
MEM 20.925781 1604494891.4424
MEM 24.921875 1604494891.5428
MEM 27.246094 1604494891.6430
MEM 29.585938 1604494891.7436
MEM 31.804688 1604494891.8446
MEM 35.605469 1604494891.9450
MEM 38.167969 1604494892.0458
MEM 40.535156 1604494892.1465
MEM 43.949219 1604494892.2473
MEM 49.898438 1604494892.3480
MEM 52.484375 1604494892.4487
MEM 56.343750 1604494892.5494
MEM 56.457031 1604494892.6501
MEM 56.464844 1604494892.7509
MEM 56.464844 1604494892.8517
MEM 56.464844 1604494892.9523
MEM 56.542969 1604494893.0528
MEM 60.253906 1604494893.1538
MEM 63.156250 1604494893.2541
MEM 67.652344 1604494893.3544
MEM 73.222656 1604494893.4552
MEM 77.664062 1604494893.5557
MEM 79.484375 1604494893.6565
MEM 82.628906 1604494893.7572
MEM 86.335938 1604494893.8579
MEM 88.367188 1604494893.9586
MEM 90.453125 1604494894.0588
MEM 100.671875 1604494894.1591
MEM 104.722656 1604494894.2598
MEM 107.082031 1604494894.3602
MEM 109.371094 1604494894.4603
MEM 111.527344 1604494894.5610
MEM 114.785156 1604494894.6618
MEM 117.164062 1604494894.7625
MEM 119.980469 1604494894.8632
MEM 124.152344 1604494894.9637
MEM 124.378906 1604494895.0637
MEM 124.449219 1604494895.1645
MEM 124.453125 1604494895.2652
MEM 125.136719 1604494895.3660
MEM 125.464844 1604494895.4666
MEM 127.582031 1604494895.5673
MEM 132.542969 1604494895.6681
MEM 134.652344 1604494895.7688
MEM 136.078125 1604494895.8695
MEM 136.273438 1604494895.9703
MEM 136.675781 1604494896.0710
MEM 141.343750 1604494896.1717
MEM 141.515625 1604494896.2725
MEM 141.750000 1604494896.3732
MEM 141.902344 1604494896.4739
MEM 142.179688 1604494896.5747
MEM 142.339844 1604494896.6754
MEM 142.574219 1604494896.7761
MEM 142.792969 1604494896.8769
MEM 142.984375 1604494896.9776
MEM 143.125000 1604494897.0783
MEM 143.253906 1604494897.1791
MEM 143.503906 1604494897.2798
MEM 143.945312 1604494897.3805
MEM 144.140625 1604494897.4812
MEM 144.156250 1604494897.5821
MEM 144.660156 1604494897.6827
MEM 146.859375 1604494897.7835
MEM 148.507812 1604494897.8842
MEM 141.238281 1604494897.9849
MEM 141.242188 1604494898.0856
MEM 141.242188 1604494898.1863
MEM 139.960938 1604494898.2871
MEM 144.343750 1604494898.3878
MEM 144.390625 1604494898.4885
MEM 144.417969 1604494898.5889
MEM 144.492188 1604494898.6890
MEM 144.644531 1604494898.7898
MEM 144.832031 1604494898.8905
MEM 144.902344 1604494898.9912
MEM 145.027344 1604494899.0919
MEM 145.304688 1604494899.1927
MEM 145.492188 1604494899.2934
MEM 145.617188 1604494899.3941
MEM 145.804688 1604494899.4948
MEM 145.929688 1604494899.5956
MEM 146.277344 1604494899.6963
MEM 146.339844 1604494899.7970
MEM 146.343750 1604494899.8978
MEM 146.531250 1604494899.9985
MEM 146.847656 1604494900.0992
MEM 148.789062 1604494900.2000
MEM 151.117188 1604494900.3007
MEM 144.171875 1604494900.4014
MEM 143.371094 1604494900.5022
MEM 143.371094 1604494900.6030
MEM 143.371094 1604494900.7037
MEM 145.945312 1604494900.8043
MEM 146.003906 1604494900.9051
MEM 146.054688 1604494901.0058
MEM 146.082031 1604494901.1061
MEM 146.093750 1604494901.2063
MEM 146.312500 1604494901.3064
MEM 146.562500 1604494901.4068
MEM 146.753906 1604494901.5075
MEM 146.910156 1604494901.6084
MEM 147.097656 1604494901.7089
MEM 147.406250 1604494901.8094
MEM 147.621094 1604494901.9094
MEM 147.699219 1604494902.0101
MEM 147.761719 1604494902.1109
MEM 148.203125 1604494902.2116
MEM 150.015625 1604494902.3124
MEM 145.281250 1604494902.4130
MEM 144.414062 1604494902.5139
MEM 144.414062 1604494902.6145
MEM 144.414062 1604494902.7152
MEM 148.070312 1604494902.8160
MEM 148.121094 1604494902.9167
MEM 148.160156 1604494903.0174
MEM 148.164062 1604494903.1183
MEM 148.179688 1604494903.2185
MEM 148.230469 1604494903.3196
MEM 148.347656 1604494903.4199
MEM 148.601562 1604494903.5202
MEM 148.726562 1604494903.6208
MEM 149.007812 1604494903.7215
MEM 149.199219 1604494903.8226
MEM 149.328125 1604494903.9230
MEM 149.578125 1604494904.0238
MEM 149.640625 1604494904.1245
MEM 149.898438 1604494904.2252
MEM 149.898438 1604494904.3260
MEM 149.902344 1604494904.4264
MEM 152.238281 1604494904.5274
MEM 147.824219 1604494904.6281
MEM 145.925781 1604494904.7289
MEM 145.925781 1604494904.8296
MEM 149.617188 1604494904.9304
MEM 149.675781 1604494905.0310
MEM 149.699219 1604494905.1318
MEM 149.730469 1604494905.2319
MEM 149.937500 1604494905.3322
MEM 149.992188 1604494905.4330
MEM 150.242188 1604494905.5337
MEM 150.367188 1604494905.6339
MEM 150.679688 1604494905.7342
MEM 150.808594 1604494905.8345
MEM 150.996094 1604494905.9357
MEM 151.183594 1604494906.0364
MEM 151.445312 1604494906.1371
MEM 151.445312 1604494906.2378
MEM 151.570312 1604494906.3382
MEM 151.949219 1604494906.4383
MEM 152.078125 1604494906.5390
MEM 155.273438 1604494906.6398
MEM 151.203125 1604494906.7405
MEM 149.347656 1604494906.8413
MEM 149.347656 1604494906.9420
MEM 147.554688 1604494907.0427
MEM 150.222656 1604494907.1434
MEM 150.269531 1604494907.2442
MEM 150.367188 1604494907.3450
MEM 150.464844 1604494907.4453
MEM 150.589844 1604494907.5454
MEM 150.761719 1604494907.6461
MEM 150.855469 1604494907.7468
MEM 151.167969 1604494907.8475
MEM 151.355469 1604494907.9483
MEM 151.609375 1604494908.0490
MEM 151.671875 1604494908.1497
MEM 151.937500 1604494908.2504
MEM 151.937500 1604494908.3510
MEM 152.316406 1604494908.4519
MEM 153.984375 1604494908.5528
MEM 159.253906 1604494908.6534
MEM 150.296875 1604494908.7542
MEM 150.296875 1604494908.8548
MEM 150.988281 1604494908.9556
MEM 154.128906 1604494909.0563
MEM 154.132812 1604494909.1570
MEM 154.144531 1604494909.2577
MEM 154.160156 1604494909.3585
MEM 154.167969 1604494909.4592
MEM 154.195312 1604494909.5599
MEM 154.351562 1604494909.6608
MEM 154.414062 1604494909.7615
MEM 154.554688 1604494909.8623
MEM 154.742188 1604494909.9626
MEM 154.863281 1604494910.0628
MEM 155.074219 1604494910.1633
MEM 155.273438 1604494910.2637
MEM 155.328125 1604494910.3639
MEM 155.332031 1604494910.4645
MEM 155.500000 1604494910.5653
MEM 158.195312 1604494910.6660
MEM 151.468750 1604494910.7668
MEM 151.468750 1604494910.8674
MEM 151.476562 1604494910.9682
MEM 153.933594 1604494911.0689
MEM 153.949219 1604494911.1696
MEM 153.964844 1604494911.2697
MEM 153.964844 1604494911.3701
MEM 153.988281 1604494911.4709
MEM 154.058594 1604494911.5710
MEM 154.101562 1604494911.6713
MEM 154.300781 1604494911.7720
MEM 154.425781 1604494911.8728
MEM 154.503906 1604494911.9735
MEM 154.636719 1604494912.0743
MEM 154.675781 1604494912.1744
MEM 154.839844 1604494912.2748
MEM 154.964844 1604494912.3754
MEM 154.964844 1604494912.4754
MEM 155.089844 1604494912.5757
MEM 155.476562 1604494912.6766
MEM 159.437500 1604494912.7774
MEM 141.914062 1604494912.8781
MEM 141.914062 1604494912.9788
MEM 141.914062 1604494913.0796
MEM 145.648438 1604494913.1803
MEM 145.699219 1604494913.2810
MEM 145.699219 1604494913.3812
MEM 145.699219 1604494913.4815
MEM 145.699219 1604494913.5822
MEM 145.718750 1604494913.6829
MEM 145.753906 1604494913.7836
MEM 145.820312 1604494913.8840
MEM 146.074219 1604494913.9841
MEM 146.269531 1604494914.0845
MEM 146.531250 1604494914.1846
MEM 146.765625 1604494914.2853
MEM 146.828125 1604494914.3861
MEM 147.269531 1604494914.4868
MEM 150.601562 1604494914.5875
MEM 144.925781 1604494914.6882
MEM 144.925781 1604494914.7890
MEM 144.925781 1604494914.8897
MEM 147.925781 1604494914.9904
MEM 149.917969 1604494915.0912
MEM 151.523438 1604494915.1919
MEM 155.968750 1604494915.2926
MEM 137.996094 1604494915.3934
MEM 123.699219 1604494915.4941
