rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delta_1_12,delta_1_13,delta_1_23,delta_2_12,delta_2_13,delta_2_23,delta_3_12,delta_3_13,delta_3_23,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lon
-94.58857142857141,-97.10285714285708,-94.05857142857141,-96.1283333333333,-92.275,-90.41142857142859,-77.9516666666667,-73.19,-94.7525,2.5142857142856627,-0.5300000000000011,-3.0442857142856634,-3.853333333333296,-5.716904761904715,-1.8635714285714189,-4.761666666666699,16.8008333333333,21.5625,1.3811940011903685,1.1697143395330687,0.3273537659463942,-166.4297031546061,-0.9720827718302,-0.2346381995986909,0.24137676996056945,-104.6216738497703,-0.25243540526314184,-0.9676137484397548,3.833114247310524,94.65065309565027,-0.08108010849371794,0.9967075880149839,-12.292874374880846,6,5,1,1,5,4,-34.95496202196571
-103.01,-84.49857142857141,-97.59142857142858,-95.01,-98.8375,-97.33285714285721,-100.65,-101.62,-94.4075,-18.511428571428606,-5.4185714285714255,13.09285714285717,3.827500000000001,2.3228571428572025,-1.504642857142798,0.9699999999999988,-6.242500000000009,-7.212500000000006,0.6648834295101081,0.6763106066681995,1.429879114516344,132.73894516303832,-0.6786590502882999,0.7344534658246109,-1.0822127333491085,-28.18583489643825,0.8814202527673527,-0.4723328678077951,-0.5358770306500609,52.78128750790416,0.6048592249818925,0.7963324167420942,1.316558273151796,3,3,6,0,-3,-3,-34.94756526647934
-95.20285714285721,-86.28,-93.03,-53.33,-84.965,-81.08,-90.8266666666667,-94.342,-98.9125,-8.922857142857211,-2.172857142857211,6.75,31.635000000000005,27.75,-3.8850000000000047,3.5153333333333023,8.085833333333298,4.570499999999996,0.9832892255320964,0.35938443174676826,1.4590808759719236,136.4137733186858,-0.7243376179885311,0.6894454403117776,-0.9518288477496883,-21.180773366230394,0.9324450983772872,-0.3613116916350361,-0.38748843472266464,65.55163979637615,0.4138729403733823,0.91033465781914,2.1995510433657888,4,2,6,2,-2,-4,-34.945962698491755
-92.4226190476191,-90.24214285714292,-93.0646428571429,-80.3592857142857,-87.1375,-86.91095238095241,-91.3383333333333,-93.248,-97.255,-2.1804761904761705,0.6420238095238062,2.8224999999999767,6.778214285714299,6.551666666666706,-0.2265476190475937,1.9096666666667088,5.9166666666667,4.006999999999991,1.2329405697562137,0.4129454575444764,1.0725749010441132,160.51972759358185,-0.9427563687422144,0.3334822771842513,-0.35373113164875164,-106.17255827121636,-0.2785311428184481,-0.9604271979073944,3.4481860383325924,81.75893516270392,0.14333828608418048,0.9896737521741444,6.90446201926067,5,2,5,3,0,-3,-34.948268754799365
-86.22714285714291,-86.23142857142858,-87.8857142857143,-72.83,-80.56625,-85.7371428571429,-90.1916666666667,-90.704,-97.6,0.0042857142856718156,1.6585714285713915,1.65428571428572,7.736249999999997,12.907142857142901,5.170892857142904,0.512333333333288,7.40833333333329,6.896000000000001,1.0627626634683378,0.3902638411715524,1.1277559992889696,156.46378183886367,-0.9168078314628062,0.3993286868839588,-0.4355642187816096,-79.2198950703022,0.18704021929175246,-0.9823522567629664,-5.252091023432003,72.35974220257485,0.30303955747817585,0.9529779780264764,3.14473128840649,5,2,5,3,0,-3,-34.94816429489871
-83.45047619047621,-84.60214285714291,-85.27178571428571,-66.54,-67.5475,-74.78,-91.6483333333333,-88.616,-97.255,1.1516666666666993,1.8213095238095043,0.6696428571428044,1.0074999999999932,8.239999999999995,7.232500000000003,-3.0323333333332982,5.6066666666666976,8.638999999999996,1.3637146067577883,0.2675475354522244,1.2590169616863458,153.65552657192282,-0.8961422450601969,0.4437669169941244,-0.4951969616880578,-130.77744800759598,-0.6531225951920832,-0.7572521876162249,1.1594334558177664,85.71712890138213,0.07468060927425843,0.9972075042830482,13.3529642295885,6,1,5,5,1,-4,-34.94650986317406
-97.2157142857143,-87.4,-94.34142857142858,-65.77,-85.0275,-84.46,-90.4616666666667,-96.416,-96.3575,-9.815714285714293,-2.874285714285719,6.941428571428574,19.257500000000007,18.69,-0.5675000000000097,5.954333333333294,5.8958333333333,-0.05849999999999511,0.9511890099416452,0.4091455406841087,1.4931926756529803,133.58924518446725,-0.6894835995022519,0.7243012950543567,-1.0504982215345515,-16.883518993102697,0.9568971643289104,-0.29042695622013226,-0.3035090572389919,63.7561533356254,0.4421923671534981,0.8969202363818011,2.028348526582444,4,2,6,2,-2,-4,-34.945702623153075
-87.1161904761905,-96.68857142857142,-81.28,-100.59333333333299,-98.6375,-96.22142857142859,-98.4983333333333,-99.518,-97.765,9.572380952380923,-5.836190476190495,-15.40857142857142,-1.9558333333329896,-4.371904761904403,-2.416071428571413,1.0196666666666945,-0.7333333333333059,-1.7530000000000001,1.0765433511150595,1.0161296157331785,0.5127645514693628,-168.8414478148718,-0.9810954079580284,-0.19352467667889256,0.19725367697080448,-90.49824880422251,-0.008695972525926727,-0.9999621893160904,114.99141543222905,59.54469620298386,0.5068660552178774,0.8620248268280141,1.700695515026097,5,4,2,1,3,2,-34.95391353354097
-76.39,-89.43428571428568,-82.26,-85.33,-96.72,-87.4442857142857,-89.9866666666667,-98.012,-98.6525,13.044285714285678,5.8700000000000045,-7.1742857142856735,11.39,2.1142857142857,-9.275714285714301,8.025333333333307,8.66583333333331,0.640500000000003,0.572096823438313,0.8710948275648819,1.0478418357225558,171.80264942072415,-0.9897828251705092,0.142583165196615,-0.14405500031994625,-56.47560435857577,0.5522919907330515,-0.8336507404015923,-1.5094384028547945,44.30669618645371,0.7156111046719246,0.6984989240293987,0.9760873181944668,2,4,4,-2,-2,0,-34.95120539002495
-80.2464285714286,-98.28,-80.94142857142859,-97.03,-97.7525,-90.39,-80.885,-99.9346666666667,-97.6,18.033571428571406,0.6949999999999932,-17.338571428571413,0.7224999999999966,-6.6400000000000015,-7.362499999999998,19.04966666666669,16.71499999999999,-2.3346666666667057,0.7507241134370749,1.1679356751995176,0.7187286832588888,-156.18451028282715,-0.9148505373305662,-0.4037926378055627,0.4413755267431831,-72.0183174508988,0.3087129259827279,-0.9511552603708728,-3.0810347747605773,28.888205249969765,0.8755639956185385,0.4831021523202934,0.5517610988320825,3,5,3,-2,0,2,-34.95476454050815
