CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.078125 1604507102.2870
MEM 12.757812 1604507102.3871
MEM 23.277344 1604507102.4876
MEM 31.117188 1604507102.5877
MEM 38.445312 1604507102.6884
MEM 49.714844 1604507102.7885
MEM 56.394531 1604507102.8892
MEM 56.394531 1604507102.9900
MEM 62.992188 1604507103.0907
MEM 74.179688 1604507103.1911
MEM 79.773438 1604507103.2912
MEM 87.574219 1604507103.3919
MEM 99.777344 1604507103.4927
MEM 106.402344 1604507103.5927
MEM 112.105469 1604507103.6935
MEM 117.421875 1604507103.7939
MEM 124.210938 1604507103.8940
MEM 124.640625 1604507103.9947
MEM 128.058594 1604507104.0954
MEM 141.058594 1604507104.1962
MEM 136.230469 1604507104.2969
MEM 137.710938 1604507104.3976
MEM 138.152344 1604507104.4985
MEM 138.433594 1604507104.5994
MEM 138.750000 1604507104.7000
MEM 138.878906 1604507104.8005
MEM 139.199219 1604507104.9009
MEM 139.332031 1604507105.0017
MEM 139.648438 1604507105.1022
MEM 139.562500 1604507105.2031
MEM 141.500000 1604507105.3039
MEM 138.136719 1604507105.4046
MEM 140.464844 1604507105.5053
MEM 140.511719 1604507105.6061
MEM 140.652344 1604507105.7068
MEM 140.871094 1604507105.8075
MEM 141.062500 1604507105.9083
MEM 141.347656 1604507106.0090
MEM 141.640625 1604507106.1097
MEM 145.621094 1604507106.2103
MEM 142.640625 1604507106.3110
MEM 142.640625 1604507106.4113
MEM 141.972656 1604507106.5114
MEM 142.050781 1604507106.6122
MEM 142.109375 1604507106.7131
MEM 142.207031 1604507106.8137
MEM 142.363281 1604507106.9140
MEM 142.492188 1604507107.0149
MEM 142.636719 1604507107.1155
MEM 142.734375 1604507107.2162
MEM 145.421875 1604507107.3169
MEM 143.171875 1604507107.4173
MEM 143.765625 1604507107.5182
MEM 145.328125 1604507107.6190
MEM 145.339844 1604507107.7197
MEM 145.414062 1604507107.8204
MEM 145.476562 1604507107.9212
MEM 145.554688 1604507108.0219
MEM 145.562500 1604507108.1227
MEM 145.558594 1604507108.2234
MEM 145.566406 1604507108.3241
MEM 148.257812 1604507108.4248
MEM 145.003906 1604507108.5255
MEM 144.027344 1604507108.6263
MEM 145.910156 1604507108.7270
MEM 145.910156 1604507108.8277
MEM 145.929688 1604507108.9286
MEM 145.929688 1604507109.0294
MEM 145.941406 1604507109.1299
MEM 145.984375 1604507109.2306
MEM 146.046875 1604507109.3316
MEM 146.082031 1604507109.4319
MEM 146.230469 1604507109.5332
MEM 146.242188 1604507109.6340
MEM 146.261719 1604507109.7347
MEM 148.242188 1604507109.8354
MEM 147.472656 1604507109.9361
MEM 149.496094 1604507110.0369
MEM 148.148438 1604507110.1376
MEM 148.816406 1604507110.2384
MEM 148.839844 1604507110.3391
MEM 148.839844 1604507110.4398
MEM 148.839844 1604507110.5406
MEM 148.902344 1604507110.6413
MEM 148.910156 1604507110.7420
MEM 149.167969 1604507110.8427
MEM 149.171875 1604507110.9435
MEM 150.296875 1604507111.0442
MEM 149.250000 1604507111.1449
MEM 150.246094 1604507111.2456
MEM 150.378906 1604507111.3464
MEM 151.144531 1604507111.4471
MEM 151.144531 1604507111.5471
MEM 151.175781 1604507111.6479
MEM 151.195312 1604507111.7486
MEM 151.207031 1604507111.8493
MEM 151.304688 1604507111.9501
MEM 151.367188 1604507112.0506
MEM 151.425781 1604507112.1516
MEM 151.421875 1604507112.2519
MEM 151.421875 1604507112.3520
MEM 151.480469 1604507112.4528
MEM 153.324219 1604507112.5536
MEM 141.437500 1604507112.6542
MEM 141.437500 1604507112.7550
MEM 144.152344 1604507112.8557
MEM 144.160156 1604507112.9564
MEM 144.160156 1604507113.0571
MEM 144.167969 1604507113.1572
MEM 144.191406 1604507113.2576
MEM 144.269531 1604507113.3581
MEM 144.394531 1604507113.4591
MEM 144.457031 1604507113.5598
MEM 144.480469 1604507113.6605
MEM 144.929688 1604507113.7612
MEM 144.289062 1604507113.8620
MEM 144.289062 1604507113.9627
MEM 145.933594 1604507114.0635
MEM 145.933594 1604507114.1642
MEM 145.933594 1604507114.2649
MEM 145.937500 1604507114.3657
MEM 145.988281 1604507114.4664
MEM 146.046875 1604507114.5665
MEM 146.195312 1604507114.6668
MEM 146.195312 1604507114.7677
MEM 146.191406 1604507114.8681
MEM 146.191406 1604507114.9686
MEM 147.539062 1604507115.0694
MEM 145.335938 1604507115.1701
MEM 144.984375 1604507115.2708
MEM 145.992188 1604507115.3815
MEM 145.992188 1604507115.4892
MEM 145.992188 1604507115.5920
MEM 146.132812 1604507115.6937
MEM 150.890625 1604507115.7944
MEM 149.667969 1604507115.8952
MEM 145.507812 1604507116.0014
MEM 152.671875 1604507116.1056
MEM 156.183594 1604507116.2073
MEM 156.183594 1604507116.3080
MEM 136.105469 1604507116.4088
MEM 136.136719 1604507116.5095
MEM 131.976562 1604507116.6122
MEM 129.156250 1604507116.7160
