CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 148.324219 1604495958.9548
MEM 149.320312 1604495959.0555
MEM 149.320312 1604495959.1564
MEM 149.320312 1604495959.2570
MEM 150.542969 1604495959.3577
MEM 150.542969 1604495959.4585
MEM 150.558594 1604495959.5592
MEM 150.566406 1604495959.6595
MEM 150.664062 1604495959.7596
MEM 150.722656 1604495959.8600
MEM 150.820312 1604495959.9601
MEM 150.875000 1604495960.0608
MEM 150.937500 1604495960.1616
MEM 151.062500 1604495960.2616
MEM 151.253906 1604495960.3620
MEM 151.503906 1604495960.4624
MEM 151.761719 1604495960.5625
MEM 151.886719 1604495960.6632
MEM 151.996094 1604495960.7640
MEM 152.164062 1604495960.8647
MEM 153.296875 1604495960.9649
MEM 155.238281 1604495961.0652
MEM 141.109375 1604495961.1659
MEM 141.109375 1604495961.2666
MEM 141.109375 1604495961.3671
MEM 139.328125 1604495961.4681
MEM 142.804688 1604495961.5688
MEM 142.890625 1604495961.6695
MEM 142.921875 1604495961.7700
MEM 142.988281 1604495961.8700
MEM 143.074219 1604495961.9707
MEM 143.136719 1604495962.0716
MEM 143.148438 1604495962.1723
MEM 143.460938 1604495962.2729
MEM 143.648438 1604495962.3737
MEM 143.902344 1604495962.4744
MEM 144.207031 1604495962.5751
MEM 144.207031 1604495962.6754
MEM 144.519531 1604495962.7756
MEM 144.773438 1604495962.8761
MEM 146.277344 1604495962.9770
MEM 148.570312 1604495963.0775
MEM 142.921875 1604495963.1775
MEM 142.921875 1604495963.2782
MEM 142.921875 1604495963.3790
MEM 141.226562 1604495963.4797
MEM 144.527344 1604495963.5801
MEM 144.542969 1604495963.6802
MEM 144.542969 1604495963.7809
MEM 144.542969 1604495963.8810
MEM 144.695312 1604495963.9814
MEM 144.734375 1604495964.0821
MEM 144.812500 1604495964.1828
MEM 144.875000 1604495964.2836
MEM 144.937500 1604495964.3843
MEM 144.945312 1604495964.4850
MEM 145.179688 1604495964.5857
MEM 145.433594 1604495964.6865
MEM 145.742188 1604495964.7865
MEM 146.121094 1604495964.8869
MEM 147.300781 1604495964.9877
MEM 149.703125 1604495965.0884
MEM 144.503906 1604495965.1891
MEM 145.496094 1604495965.2895
MEM 145.496094 1604495965.3896
MEM 145.496094 1604495965.4901
MEM 148.085938 1604495965.5901
MEM 149.925781 1604495965.6908
MEM 149.671875 1604495965.7915
MEM 156.183594 1604495965.8916
MEM 138.128906 1604495965.9920
MEM 131.851562 1604495966.0927
