CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-SVR.py
MEM 0.078125 1604455869.3003
MEM 9.031250 1604455869.4123
MEM 20.710938 1604455869.5211
MEM 29.699219 1604455869.6295
MEM 38.148438 1604455869.7407
MEM 49.726562 1604455869.8532
MEM 56.417969 1604455869.9622
MEM 56.417969 1604455870.0708
MEM 62.757812 1604455870.1810
MEM 75.964844 1604455870.2893
MEM 81.519531 1604455870.4008
MEM 90.453125 1604455870.5188
MEM 104.515625 1604455870.6283
MEM 111.500000 1604455870.7443
MEM 117.417969 1604455870.8531
MEM 124.929688 1604455870.9549
MEM 125.242188 1604455871.0585
MEM 127.570312 1604455871.1682
MEM 138.332031 1604455871.2775
MEM 136.734375 1604455871.3836
MEM 141.292969 1604455871.4857
MEM 148.171875 1604455871.5983
MEM 154.609375 1604455871.7134
MEM 159.308594 1604455871.8240
MEM 160.082031 1604455871.9304
MEM 140.058594 1604455872.0426
MEM 140.062500 1604455872.1532
MEM 140.070312 1604455872.2660
MEM 140.078125 1604455872.3821
MEM 140.085938 1604455872.4835
MEM 140.089844 1604455872.5965
MEM 140.097656 1604455872.7013
MEM 141.878906 1604455872.8160
MEM 147.023438 1604455872.9275
MEM 153.472656 1604455873.0414
MEM 158.660156 1604455873.1519
MEM 160.335938 1604455873.2650
MEM 140.179688 1604455873.3777
MEM 140.179688 1604455873.4925
MEM 140.179688 1604455873.5964
MEM 140.179688 1604455873.7083
MEM 140.179688 1604455873.8189
MEM 140.179688 1604455873.9293
MEM 140.179688 1604455874.0468
MEM 140.820312 1604455874.1633
MEM 146.730469 1604455874.2749
MEM 152.406250 1604455874.3757
MEM 157.562500 1604455874.4764
MEM 160.152344 1604455874.5771
MEM 148.753906 1604455874.6778
MEM 140.445312 1604455874.7786
MEM 140.445312 1604455874.8793
MEM 140.445312 1604455874.9800
MEM 140.445312 1604455875.0808
MEM 140.445312 1604455875.1815
MEM 140.445312 1604455875.2822
MEM 140.445312 1604455875.3885
MEM 141.105469 1604455875.4985
MEM 146.839844 1604455875.6090
MEM 153.148438 1604455875.7175
MEM 158.898438 1604455875.8316
MEM 161.101562 1604455875.9422
MEM 139.910156 1604455876.0529
MEM 139.910156 1604455876.1798
MEM 139.910156 1604455876.2924
MEM 139.910156 1604455876.3925
MEM 139.910156 1604455876.4933
MEM 139.910156 1604455876.5940
MEM 139.910156 1604455876.6947
MEM 139.242188 1604455876.7955
MEM 144.156250 1604455876.8962
MEM 149.714844 1604455876.9969
MEM 155.382812 1604455877.0977
MEM 159.160156 1604455877.1979
MEM 160.589844 1604455877.2981
MEM 140.867188 1604455877.4132
MEM 140.867188 1604455877.5261
MEM 140.867188 1604455877.6271
MEM 140.867188 1604455877.7380
MEM 140.867188 1604455877.8460
MEM 140.867188 1604455877.9479
MEM 140.867188 1604455878.0630
MEM 140.867188 1604455878.1796
MEM 139.703125 1604455878.2962
MEM 146.839844 1604455878.4112
MEM 153.238281 1604455878.5237
MEM 158.519531 1604455878.6366
MEM 160.476562 1604455878.7471
MEM 140.644531 1604455878.8481
MEM 140.652344 1604455878.9648
MEM 140.656250 1604455879.0710
MEM 140.664062 1604455879.1816
MEM 140.671875 1604455879.2935
MEM 140.675781 1604455879.3975
MEM 140.683594 1604455879.5112
MEM 139.554688 1604455879.6309
MEM 146.128906 1604455879.7456
MEM 152.785156 1604455879.8576
MEM 158.222656 1604455879.9697
MEM 160.179688 1604455880.0817
MEM 140.988281 1604455880.1962
MEM 142.917969 1604455880.3068
MEM 142.917969 1604455880.4075
MEM 142.917969 1604455880.5082
MEM 142.917969 1604455880.6090
MEM 142.917969 1604455880.7097
MEM 142.917969 1604455880.8104
MEM 142.917969 1604455880.9112
MEM 144.835938 1604455881.0119
MEM 147.757812 1604455881.1126
MEM 153.550781 1604455881.2134
MEM 158.636719 1604455881.3141
MEM 160.902344 1604455881.4217
MEM 161.097656 1604455881.5294
MEM 141.660156 1604455881.6452
MEM 141.664062 1604455881.7459
MEM 141.671875 1604455881.8670
MEM 141.679688 1604455881.9803
MEM 141.683594 1604455882.0818
MEM 141.691406 1604455882.1924
MEM 141.695312 1604455882.3018
MEM 143.148438 1604455882.4091
MEM 149.238281 1604455882.5208
MEM 155.191406 1604455882.6314
MEM 158.835938 1604455882.7419
MEM 159.855469 1604455882.8526
MEM 141.429688 1604455882.9643
MEM 141.429688 1604455883.0790
MEM 141.429688 1604455883.1915
MEM 141.429688 1604455883.3044
MEM 141.429688 1604455883.4150
MEM 141.437500 1604455883.5301
MEM 139.867188 1604455883.6454
MEM 142.441406 1604455883.7581
MEM 140.960938 1604455883.8691
MEM 132.402344 1604455883.9750
