CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-SVR.py
MEM 0.078125 1604455136.1674
MEM 8.472656 1604455136.2706
MEM 20.406250 1604455136.3807
MEM 28.859375 1604455136.4886
MEM 37.437500 1604455136.5976
MEM 49.046875 1604455136.7070
MEM 56.605469 1604455136.8159
MEM 56.605469 1604455136.9261
MEM 62.265625 1604455137.0354
MEM 76.093750 1604455137.1547
MEM 80.453125 1604455137.2557
MEM 89.136719 1604455137.3700
MEM 102.011719 1604455137.4703
MEM 109.281250 1604455137.5710
MEM 114.328125 1604455137.6715
MEM 120.089844 1604455137.7716
MEM 124.890625 1604455137.8724
MEM 125.304688 1604455137.9730
MEM 131.621094 1604455138.0737
MEM 140.359375 1604455138.1745
MEM 139.625000 1604455138.2752
MEM 148.394531 1604455138.3904
MEM 156.601562 1604455138.5032
MEM 161.218750 1604455138.6184
MEM 140.613281 1604455138.7185
MEM 140.613281 1604455138.8346
MEM 140.613281 1604455138.9478
MEM 144.914062 1604455139.0605
MEM 152.324219 1604455139.1641
MEM 156.773438 1604455139.2645
MEM 158.500000 1604455139.3819
MEM 141.175781 1604455139.4924
MEM 141.175781 1604455139.5976
MEM 140.589844 1604455139.7075
MEM 148.339844 1604455139.8078
MEM 155.863281 1604455139.9100
MEM 160.812500 1604455140.0180
MEM 140.851562 1604455140.1406
MEM 140.851562 1604455140.2423
MEM 140.851562 1604455140.3517
MEM 142.902344 1604455140.4590
MEM 152.472656 1604455140.5742
MEM 160.003906 1604455140.6882
MEM 141.070312 1604455140.7937
MEM 141.089844 1604455140.9056
MEM 141.105469 1604455141.0181
MEM 140.648438 1604455141.1301
MEM 149.339844 1604455141.2418
MEM 156.800781 1604455141.3555
MEM 160.433594 1604455141.4563
MEM 142.003906 1604455141.5571
MEM 142.003906 1604455141.6578
MEM 142.003906 1604455141.7647
MEM 144.707031 1604455141.8782
MEM 152.175781 1604455141.9803
MEM 158.554688 1604455142.0813
MEM 161.550781 1604455142.1878
MEM 141.554688 1604455142.2888
MEM 141.570312 1604455142.3903
MEM 141.585938 1604455142.4956
MEM 144.238281 1604455142.5963
MEM 150.906250 1604455142.6970
MEM 157.304688 1604455142.8032
MEM 160.781250 1604455142.9033
MEM 142.250000 1604455143.0139
MEM 142.250000 1604455143.1342
MEM 142.250000 1604455143.2487
MEM 145.609375 1604455143.3561
MEM 152.351562 1604455143.4562
MEM 157.824219 1604455143.5712
MEM 159.261719 1604455143.6715
MEM 144.363281 1604455143.7719
MEM 144.363281 1604455143.8720
MEM 144.363281 1604455143.9727
MEM 143.535156 1604455144.0734
MEM 150.648438 1604455144.1742
MEM 155.113281 1604455144.2840
MEM 156.039062 1604455144.3840
MEM 144.070312 1604455144.4848
MEM 144.089844 1604455144.5855
MEM 145.554688 1604455144.6862
MEM 147.359375 1604455144.7868
MEM 152.417969 1604455144.8875
MEM 137.304688 1604455144.9883
