CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-SVR.py
MEM 0.078125 1604372819.4733
MEM 13.105469 1604372819.5736
MEM 24.097656 1604372819.6736
MEM 30.570312 1604372819.7739
MEM 38.207031 1604372819.8741
MEM 48.308594 1604372819.9741
MEM 56.296875 1604372820.0748
MEM 56.527344 1604372820.1748
MEM 56.933594 1604372820.2749
MEM 65.519531 1604372820.3755
MEM 76.640625 1604372820.4763
MEM 82.933594 1604372820.5949
MEM 90.335938 1604372820.7054
MEM 102.933594 1604372820.8133
MEM 109.738281 1604372820.9228
MEM 115.691406 1604372821.0331
MEM 124.203125 1604372821.1518
MEM 125.000000 1604372821.2631
MEM 126.640625 1604372821.3721
MEM 132.613281 1604372821.4741
MEM 135.851562 1604372821.5748
MEM 139.605469 1604372821.6756
MEM 145.515625 1604372821.7762
MEM 150.855469 1604372821.8770
MEM 155.035156 1604372821.9777
MEM 157.398438 1604372822.0784
MEM 158.789062 1604372822.1792
MEM 159.273438 1604372822.2799
MEM 159.562500 1604372822.3807
MEM 159.734375 1604372822.4815
MEM 159.753906 1604372822.5984
MEM 159.785156 1604372822.7031
MEM 159.792969 1604372822.8134
MEM 159.792969 1604372822.9251
MEM 139.667969 1604372823.0405
MEM 139.671875 1604372823.1537
MEM 139.679688 1604372823.2686
MEM 139.687500 1604372823.3816
MEM 139.695312 1604372823.4962
MEM 139.703125 1604372823.5971
MEM 139.707031 1604372823.6978
MEM 140.148438 1604372823.7986
MEM 145.066406 1604372823.8993
MEM 150.496094 1604372824.0001
MEM 154.843750 1604372824.1008
MEM 157.359375 1604372824.2015
MEM 158.390625 1604372824.3022
MEM 158.894531 1604372824.4031
MEM 159.097656 1604372824.5037
MEM 159.253906 1604372824.6163
MEM 159.300781 1604372824.7307
MEM 159.500000 1604372824.8357
MEM 159.519531 1604372824.9367
MEM 159.519531 1604372825.0498
MEM 159.558594 1604372825.1618
MEM 142.726562 1604372825.2724
MEM 139.390625 1604372825.3853
MEM 139.390625 1604372825.5010
MEM 139.390625 1604372825.6018
MEM 139.390625 1604372825.7024
MEM 139.390625 1604372825.8031
MEM 139.398438 1604372825.9039
MEM 141.046875 1604372826.0044
MEM 145.367188 1604372826.1051
MEM 150.875000 1604372826.2058
MEM 155.074219 1604372826.3065
MEM 157.800781 1604372826.4072
MEM 159.011719 1604372826.5080
MEM 159.730469 1604372826.6087
MEM 160.003906 1604372826.7094
MEM 160.066406 1604372826.8102
MEM 160.167969 1604372826.9109
MEM 160.203125 1604372827.0116
MEM 160.214844 1604372827.1124
MEM 160.218750 1604372827.2131
MEM 138.652344 1604372827.3138
MEM 138.660156 1604372827.4146
MEM 138.667969 1604372827.5342
MEM 138.675781 1604372827.6459
MEM 138.683594 1604372827.7592
MEM 138.687500 1604372827.8718
MEM 138.691406 1604372827.9845
MEM 143.738281 1604372828.0994
MEM 149.476562 1604372828.2138
