CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.078125 1604449778.7829
MEM 8.593750 1604449778.8901
MEM 13.082031 1604449779.0035
MEM 18.535156 1604449779.1102
MEM 22.886719 1604449779.2246
MEM 26.675781 1604449779.3348
MEM 29.769531 1604449779.4356
MEM 32.558594 1604449779.5368
MEM 36.667969 1604449779.6375
MEM 39.519531 1604449779.7398
MEM 43.824219 1604449779.8417
MEM 49.222656 1604449779.9440
MEM 52.546875 1604449780.0485
MEM 56.519531 1604449780.1562
MEM 56.519531 1604449780.2608
MEM 56.519531 1604449780.3745
MEM 56.519531 1604449780.4848
MEM 56.519531 1604449780.5927
MEM 59.589844 1604449780.6931
MEM 63.316406 1604449780.7973
MEM 68.351562 1604449780.9045
MEM 76.289062 1604449781.0130
MEM 79.878906 1604449781.1195
MEM 86.707031 1604449781.2283
MEM 90.257812 1604449781.3330
MEM 93.058594 1604449781.4440
MEM 95.855469 1604449781.5595
MEM 98.707031 1604449781.6674
MEM 100.558594 1604449781.7832
MEM 104.296875 1604449781.8901
MEM 106.855469 1604449782.0009
MEM 109.511719 1604449782.1115
MEM 113.347656 1604449782.2221
MEM 116.105469 1604449782.3342
MEM 118.812500 1604449782.4356
MEM 124.167969 1604449782.5445
MEM 125.074219 1604449782.6558
MEM 125.507812 1604449782.7649
MEM 126.269531 1604449782.8797
MEM 132.648438 1604449782.9798
MEM 141.269531 1604449783.0944
MEM 135.062500 1604449783.2063
MEM 139.167969 1604449783.3176
MEM 139.390625 1604449783.4256
MEM 139.660156 1604449783.5334
MEM 140.015625 1604449783.6431
MEM 140.226562 1604449783.7506
MEM 140.488281 1604449783.8592
MEM 140.707031 1604449783.9684
MEM 140.996094 1604449784.0759
MEM 141.097656 1604449784.1853
MEM 141.285156 1604449784.2960
MEM 141.664062 1604449784.4057
MEM 141.789062 1604449784.5144
MEM 142.250000 1604449784.6229
MEM 142.628906 1604449784.7310
MEM 146.472656 1604449784.8428
MEM 140.148438 1604449784.9553
MEM 142.082031 1604449785.0589
MEM 142.082031 1604449785.1600
MEM 138.652344 1604449785.2764
MEM 141.800781 1604449785.3792
MEM 141.816406 1604449785.4841
MEM 141.957031 1604449785.5888
MEM 142.050781 1604449785.6956
MEM 142.164062 1604449785.7980
MEM 142.453125 1604449785.9010
MEM 142.558594 1604449786.0059
MEM 142.781250 1604449786.1094
MEM 142.910156 1604449786.2132
MEM 143.167969 1604449786.3188
MEM 143.488281 1604449786.4204
MEM 143.617188 1604449786.5292
MEM 143.683594 1604449786.6381
MEM 143.875000 1604449786.7459
MEM 144.253906 1604449786.8533
MEM 147.238281 1604449786.9589
MEM 141.644531 1604449787.0596
MEM 143.523438 1604449787.1606
MEM 143.523438 1604449787.2629
MEM 143.523438 1604449787.3630
MEM 140.023438 1604449787.4720
MEM 143.105469 1604449787.5746
MEM 143.144531 1604449787.6755
MEM 143.207031 1604449787.7786
MEM 143.269531 1604449787.8851
MEM 143.441406 1604449787.9871
MEM 143.597656 1604449788.0938
MEM 143.785156 1604449788.1977
MEM 143.914062 1604449788.3017
MEM 144.136719 1604449788.4097
MEM 144.390625 1604449788.5130
MEM 144.523438 1604449788.6191
MEM 144.648438 1604449788.7250
MEM 144.902344 1604449788.8265
MEM 145.027344 1604449788.9356
MEM 145.093750 1604449789.0438
MEM 145.289062 1604449789.1527
MEM 145.351562 1604449789.2587
MEM 147.015625 1604449789.3641
MEM 149.539062 1604449789.4698
MEM 144.687500 1604449789.5780
MEM 144.687500 1604449789.6814
MEM 144.687500 1604449789.7892
MEM 144.687500 1604449789.8933
MEM 144.171875 1604449790.0039
MEM 146.855469 1604449790.1095
MEM 146.855469 1604449790.2194
MEM 146.855469 1604449790.3319
MEM 146.886719 1604449790.4395
MEM 146.925781 1604449790.5431
MEM 147.023438 1604449790.6538
MEM 147.175781 1604449790.7611
MEM 147.343750 1604449790.8665
MEM 147.343750 1604449790.9671
MEM 147.359375 1604449791.0824
MEM 147.515625 1604449791.1966
MEM 147.648438 1604449791.3084
MEM 147.773438 1604449791.4098
MEM 147.835938 1604449791.5148
MEM 148.085938 1604449791.6157
MEM 148.195312 1604449791.7167
MEM 148.199219 1604449791.8186
MEM 148.261719 1604449791.9255
MEM 148.324219 1604449792.0256
MEM 148.335938 1604449792.1295
MEM 148.453125 1604449792.2354
MEM 148.449219 1604449792.3406
MEM 148.449219 1604449792.4409
MEM 149.628906 1604449792.5428
MEM 152.570312 1604449792.6521
MEM 145.582031 1604449792.7662
MEM 146.589844 1604449792.8799
MEM 146.589844 1604449792.9892
MEM 146.589844 1604449793.1011
MEM 145.625000 1604449793.2256
MEM 147.761719 1604449793.3396
MEM 147.792969 1604449793.4422
MEM 147.808594 1604449793.5492
MEM 147.808594 1604449793.6493
MEM 147.816406 1604449793.7554
MEM 147.816406 1604449793.8559
MEM 147.816406 1604449793.9588
MEM 147.937500 1604449794.0636
MEM 148.000000 1604449794.1680
MEM 148.171875 1604449794.2764
MEM 148.265625 1604449794.3798
MEM 148.359375 1604449794.4898
MEM 148.359375 1604449794.6002
MEM 148.359375 1604449794.7098
MEM 148.386719 1604449794.8208
MEM 148.386719 1604449794.9300
MEM 148.414062 1604449795.0413
MEM 148.414062 1604449795.1519
MEM 148.414062 1604449795.2620
MEM 148.414062 1604449795.3698
MEM 148.671875 1604449795.4791
MEM 150.621094 1604449795.5864
MEM 152.601562 1604449795.6890
MEM 148.636719 1604449795.8039
MEM 149.667969 1604449795.9060
MEM 149.667969 1604449796.0127
MEM 149.667969 1604449796.1142
MEM 149.667969 1604449796.2199
MEM 149.667969 1604449796.3211
MEM 148.363281 1604449796.4354
MEM 149.710938 1604449796.5364
MEM 149.710938 1604449796.6414
MEM 149.710938 1604449796.7513
MEM 149.710938 1604449796.8524
MEM 149.726562 1604449796.9579
MEM 149.800781 1604449797.0604
MEM 149.890625 1604449797.1751
MEM 149.894531 1604449797.2841
MEM 150.000000 1604449797.3928
MEM 150.000000 1604449797.5040
MEM 150.058594 1604449797.6083
MEM 150.191406 1604449797.7247
MEM 150.316406 1604449797.8376
MEM 150.503906 1604449797.9485
MEM 150.511719 1604449798.0578
MEM 150.511719 1604449798.1661
MEM 150.574219 1604449798.2820
MEM 150.582031 1604449798.3924
MEM 150.644531 1604449798.5028
MEM 150.832031 1604449798.6126
MEM 151.148438 1604449798.7278
MEM 152.496094 1604449798.8405
MEM 154.000000 1604449798.9489
MEM 149.437500 1604449799.0559
MEM 150.121094 1604449799.1678
MEM 150.121094 1604449799.2833
MEM 150.121094 1604449799.3834
MEM 150.121094 1604449799.4960
MEM 150.121094 1604449799.5967
MEM 149.164062 1604449799.7085
MEM 151.089844 1604449799.8217
MEM 151.101562 1604449799.9321
MEM 151.109375 1604449800.0414
MEM 151.109375 1604449800.1520
MEM 151.167969 1604449800.2622
MEM 151.210938 1604449800.3754
MEM 151.304688 1604449800.4847
MEM 151.363281 1604449800.5942
MEM 151.457031 1604449800.7030
MEM 151.468750 1604449800.8122
MEM 151.554688 1604449800.9216
MEM 151.554688 1604449801.0408
MEM 151.558594 1604449801.1512
MEM 151.558594 1604449801.2593
MEM 151.609375 1604449801.3694
MEM 151.671875 1604449801.4716
MEM 151.671875 1604449801.5803
MEM 151.859375 1604449801.6908
MEM 152.156250 1604449801.8039
MEM 152.164062 1604449801.9133
MEM 153.316406 1604449802.0138
MEM 155.531250 1604449802.1162
MEM 150.617188 1604449802.2171
MEM 141.437500 1604449802.3241
MEM 141.437500 1604449802.4248
MEM 141.437500 1604449802.5330
MEM 141.437500 1604449802.6416
MEM 141.437500 1604449802.7470
MEM 144.648438 1604449802.8522
MEM 144.652344 1604449802.9533
MEM 144.652344 1604449803.0594
MEM 144.652344 1604449803.1627
MEM 144.652344 1604449803.2709
MEM 144.750000 1604449803.3751
MEM 144.781250 1604449803.4821
MEM 144.820312 1604449803.5874
MEM 144.910156 1604449803.6926
MEM 144.976562 1604449803.7965
MEM 145.132812 1604449803.9030
MEM 145.316406 1604449804.0034
MEM 145.414062 1604449804.1069
MEM 145.480469 1604449804.2090
MEM 145.792969 1604449804.3129
MEM 145.796875 1604449804.4236
MEM 145.921875 1604449804.5269
MEM 145.921875 1604449804.6294
MEM 145.921875 1604449804.7331
MEM 146.171875 1604449804.8398
MEM 146.425781 1604449804.9459
MEM 148.320312 1604449805.0498
MEM 149.585938 1604449805.1567
MEM 142.109375 1604449805.2593
MEM 144.050781 1604449805.3642
MEM 144.050781 1604449805.4790
MEM 144.050781 1604449805.5905
MEM 147.347656 1604449805.6964
MEM 147.347656 1604449805.8005
MEM 147.347656 1604449805.9045
MEM 147.363281 1604449806.0119
MEM 147.425781 1604449806.1132
MEM 147.433594 1604449806.2169
MEM 147.523438 1604449806.3219
MEM 147.523438 1604449806.4226
MEM 147.566406 1604449806.5300
MEM 147.769531 1604449806.6327
MEM 147.863281 1604449806.7426
MEM 147.972656 1604449806.8570
MEM 148.250000 1604449806.9737
MEM 148.375000 1604449807.0903
MEM 148.476562 1604449807.2070
MEM 148.855469 1604449807.3234
MEM 150.058594 1604449807.4235
MEM 143.718750 1604449807.5237
MEM 146.183594 1604449807.6388
MEM 146.183594 1604449807.7476
MEM 141.496094 1604449807.8599
MEM 148.031250 1604449807.9659
MEM 146.601562 1604449808.0775
MEM 155.625000 1604449808.1892
MEM 137.343750 1604449808.3068
MEM 131.058594 1604449808.4087
