CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-SVR.py
MEM 0.078125 1604372241.2523
MEM 0.078125 1604372241.3647
MEM 15.347656 1604372241.4727
MEM 24.199219 1604372241.5729
MEM 30.554688 1604372241.6734
MEM 38.199219 1604372241.7735
MEM 40.996094 1604372241.8744
MEM 44.046875 1604372241.9750
MEM 48.605469 1604372242.0757
MEM 51.320312 1604372242.1764
MEM 55.257812 1604372242.2767
MEM 56.527344 1604372242.3772
MEM 56.527344 1604372242.4776
MEM 58.000000 1604372242.5784
MEM 60.593750 1604372242.6791
MEM 63.445312 1604372242.7802
MEM 67.542969 1604372242.8804
MEM 70.503906 1604372242.9806
MEM 77.273438 1604372243.0808
MEM 79.933594 1604372243.1815
MEM 85.953125 1604372243.2842
MEM 88.742188 1604372243.3978
MEM 91.843750 1604372243.5012
MEM 94.882812 1604372243.6017
MEM 97.054688 1604372243.7026
MEM 100.613281 1604372243.8026
MEM 103.472656 1604372243.9033
MEM 105.199219 1604372244.0033
MEM 109.132812 1604372244.1038
MEM 112.000000 1604372244.2043
MEM 115.933594 1604372244.3052
MEM 118.132812 1604372244.4055
MEM 123.859375 1604372244.5063
MEM 125.000000 1604372244.6073
MEM 125.476562 1604372244.7077
MEM 127.750000 1604372244.8086
MEM 130.210938 1604372244.9092
MEM 133.753906 1604372245.0100
MEM 142.128906 1604372245.1107
MEM 137.941406 1604372245.2115
MEM 143.855469 1604372245.3122
MEM 149.054688 1604372245.4129
MEM 153.761719 1604372245.5136
MEM 156.992188 1604372245.6144
MEM 158.710938 1604372245.7151
MEM 159.609375 1604372245.8166
MEM 159.964844 1604372245.9285
MEM 160.144531 1604372246.0416
MEM 160.187500 1604372246.1595
MEM 160.187500 1604372246.2767
MEM 160.218750 1604372246.3929
MEM 160.226562 1604372246.4937
MEM 160.226562 1604372246.5945
MEM 160.226562 1604372246.6953
MEM 138.886719 1604372246.7960
MEM 138.886719 1604372246.8966
MEM 138.886719 1604372246.9974
MEM 138.886719 1604372247.0981
MEM 138.886719 1604372247.1989
MEM 138.886719 1604372247.3090
MEM 138.886719 1604372247.4115
MEM 138.042969 1604372247.5124
MEM 144.050781 1604372247.6261
MEM 148.687500 1604372247.7262
MEM 152.671875 1604372247.8269
MEM 155.847656 1604372247.9278
MEM 158.093750 1604372248.0418
MEM 158.957031 1604372248.1535
MEM 159.238281 1604372248.2541
MEM 159.335938 1604372248.3711
MEM 159.476562 1604372248.4764
MEM 159.500000 1604372248.5772
MEM 159.695312 1604372248.6779
MEM 159.707031 1604372248.7786
MEM 159.707031 1604372248.8794
MEM 159.753906 1604372248.9801
MEM 139.191406 1604372249.0808
MEM 140.574219 1604372249.1816
MEM 140.574219 1604372249.2823
MEM 140.574219 1604372249.3831
MEM 140.574219 1604372249.4838
MEM 140.574219 1604372249.5846
MEM 140.574219 1604372249.6852
MEM 140.574219 1604372249.7860
MEM 141.300781 1604372249.8869
MEM 145.507812 1604372249.9877
MEM 150.683594 1604372250.0920
MEM 155.554688 1604372250.2087
MEM 158.496094 1604372250.3192
MEM 159.523438 1604372250.4314
MEM 160.046875 1604372250.5316
MEM 160.300781 1604372250.6323
MEM 160.355469 1604372250.7330
MEM 160.464844 1604372250.8338
MEM 160.507812 1604372250.9345
MEM 160.507812 1604372251.0350
MEM 160.511719 1604372251.1359
MEM 140.140625 1604372251.2367
MEM 140.140625 1604372251.3374
MEM 140.140625 1604372251.4382
MEM 140.144531 1604372251.5389
MEM 140.148438 1604372251.6396
MEM 140.156250 1604372251.7403
MEM 140.164062 1604372251.8510
MEM 140.816406 1604372251.9756
MEM 144.394531 1604372252.0764
MEM 149.078125 1604372252.1769
MEM 153.757812 1604372252.2777
MEM 158.164062 1604372252.3874
MEM 160.234375 1604372252.4974
MEM 160.921875 1604372252.5983
MEM 161.195312 1604372252.6991
MEM 161.343750 1604372252.7998
MEM 161.378906 1604372252.9044
MEM 161.382812 1604372253.0103
MEM 161.386719 1604372253.1152
MEM 140.089844 1604372253.2295
MEM 140.097656 1604372253.3448
MEM 140.101562 1604372253.4523
MEM 140.109375 1604372253.5534
MEM 140.113281 1604372253.6541
MEM 140.121094 1604372253.7543
MEM 140.125000 1604372253.8545
MEM 140.128906 1604372253.9552
MEM 142.074219 1604372254.0559
MEM 147.855469 1604372254.1567
MEM 152.367188 1604372254.2574
MEM 155.910156 1604372254.3583
MEM 158.339844 1604372254.4589
MEM 159.136719 1604372254.5596
MEM 159.656250 1604372254.6603
MEM 160.050781 1604372254.7611
MEM 160.113281 1604372254.8618
MEM 160.300781 1604372254.9625
MEM 160.300781 1604372255.0634
MEM 160.339844 1604372255.1641
MEM 160.351562 1604372255.2829
MEM 160.351562 1604372255.3948
MEM 140.070312 1604372255.5017
MEM 140.070312 1604372255.6024
MEM 140.070312 1604372255.7032
MEM 140.070312 1604372255.8039
MEM 140.070312 1604372255.9047
MEM 140.070312 1604372256.0054
MEM 140.070312 1604372256.1061
MEM 140.070312 1604372256.2069
MEM 139.667969 1604372256.3071
MEM 145.433594 1604372256.4079
MEM 150.804688 1604372256.5086
MEM 155.035156 1604372256.6094
MEM 157.976562 1604372256.7100
MEM 159.242188 1604372256.8108
MEM 159.933594 1604372256.9115
MEM 160.371094 1604372257.0123
MEM 160.460938 1604372257.1124
