CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.078125 1601927647.0968
MEM 14.574219 1601927647.2025
MEM 27.609375 1601927647.3083
MEM 37.734375 1601927647.4138
MEM 37.820312 1601927647.5198
MEM 38.617188 1601927647.6246
MEM 49.382812 1601927647.7297
MEM 60.207031 1601927647.8346
MEM 69.906250 1601927647.9391
MEM 77.476562 1601927648.0440
MEM 91.265625 1601927648.1508
MEM 96.039062 1601927648.2562
MEM 103.199219 1601927648.3615
MEM 108.800781 1601927648.4668
MEM 115.285156 1601927648.5728
MEM 123.390625 1601927648.6785
MEM 124.097656 1601927648.7852
MEM 125.906250 1601927648.8899
MEM 137.109375 1601927648.9940
MEM 138.406250 1601927649.0987
MEM 140.726562 1601927649.2044
MEM 141.039062 1601927649.3101
MEM 141.539062 1601927649.4159
MEM 141.820312 1601927649.5236
MEM 145.238281 1601927649.6283
MEM 140.109375 1601927649.7330
MEM 143.195312 1601927649.8387
MEM 143.234375 1601927649.9444
MEM 143.519531 1601927650.0522
MEM 143.742188 1601927650.1589
MEM 145.726562 1601927650.2646
MEM 144.820312 1601927650.3703
MEM 144.851562 1601927650.4770
MEM 144.863281 1601927650.5827
MEM 145.128906 1601927650.6885
MEM 145.382812 1601927650.7942
MEM 143.730469 1601927650.8999
MEM 146.531250 1601927651.0056
MEM 146.562500 1601927651.1113
MEM 146.566406 1601927651.2190
MEM 146.703125 1601927651.3248
MEM 146.984375 1601927651.4305
MEM 145.281250 1601927651.5362
MEM 145.367188 1601927651.6419
MEM 147.878906 1601927651.7476
MEM 147.914062 1601927651.8543
MEM 148.019531 1601927651.9601
MEM 148.187500 1601927652.0678
MEM 148.464844 1601927652.1735
MEM 144.667969 1601927652.2812
MEM 150.429688 1601927652.3869
MEM 150.507812 1601927652.4926
MEM 150.523438 1601927652.5994
MEM 150.835938 1601927652.7051
MEM 148.683594 1601927652.8108
MEM 151.808594 1601927652.9165
MEM 151.843750 1601927653.0222
MEM 151.945312 1601927653.1300
MEM 151.972656 1601927653.2356
MEM 152.171875 1601927653.3424
MEM 152.421875 1601927653.4481
MEM 147.460938 1601927653.5548
MEM 153.617188 1601927653.6605
MEM 153.714844 1601927653.7693
MEM 153.722656 1601927653.8749
MEM 153.816406 1601927653.9807
MEM 153.914062 1601927654.0874
MEM 153.941406 1601927654.1941
MEM 154.972656 1601927654.2988
MEM 155.058594 1601927654.4075
MEM 155.097656 1601927654.5123
MEM 155.191406 1601927654.6170
MEM 153.148438 1601927654.7237
MEM 140.593750 1601927654.8294
MEM 142.058594 1601927654.9354
MEM 151.218750 1601927655.0401
MEM 133.847656 1601927655.1448
