CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.078125 1604493978.8866
MEM 7.925781 1604493978.9872
MEM 11.570312 1604493979.0880
MEM 16.335938 1604493979.1887
MEM 22.054688 1604493979.2894
MEM 27.058594 1604493979.3895
MEM 30.179688 1604493979.4901
MEM 32.925781 1604493979.5902
MEM 37.218750 1604493979.6910
MEM 39.082031 1604493979.7917
MEM 40.542969 1604493979.8924
MEM 42.281250 1604493979.9931
MEM 44.035156 1604493980.0939
MEM 46.402344 1604493980.1946
MEM 47.480469 1604493980.2952
MEM 48.421875 1604493980.3954
MEM 49.562500 1604493980.4959
MEM 50.343750 1604493980.5967
MEM 51.046875 1604493980.6974
MEM 52.539062 1604493980.7976
MEM 53.441406 1604493980.8984
MEM 54.703125 1604493980.9993
MEM 55.828125 1604493981.0997
MEM 56.492188 1604493981.1999
MEM 56.492188 1604493981.3001
MEM 56.492188 1604493981.4004
MEM 56.492188 1604493981.5011
MEM 56.492188 1604493981.6019
MEM 56.492188 1604493981.7026
MEM 57.281250 1604493981.8026
MEM 58.312500 1604493981.9034
MEM 59.218750 1604493982.0044
MEM 60.257812 1604493982.1052
MEM 61.261719 1604493982.2061
MEM 62.148438 1604493982.3066
MEM 63.175781 1604493982.4070
MEM 64.382812 1604493982.5071
MEM 65.585938 1604493982.6071
MEM 67.464844 1604493982.7072
MEM 69.152344 1604493982.8076
MEM 70.535156 1604493982.9078
MEM 73.125000 1604493983.0084
MEM 76.312500 1604493983.1088
MEM 77.167969 1604493983.2092
MEM 78.144531 1604493983.3100
MEM 79.054688 1604493983.4104
MEM 79.515625 1604493983.5108
MEM 80.472656 1604493983.6116
MEM 82.710938 1604493983.7119
MEM 85.148438 1604493983.8126
MEM 86.746094 1604493983.9137
MEM 87.769531 1604493984.0145
MEM 88.789062 1604493984.1146
MEM 90.324219 1604493984.2147
MEM 91.515625 1604493984.3148
MEM 93.195312 1604493984.4151
MEM 95.324219 1604493984.5151
MEM 97.218750 1604493984.6159
MEM 99.804688 1604493984.7166
MEM 101.023438 1604493984.8175
MEM 102.183594 1604493984.9185
MEM 103.093750 1604493985.0185
MEM 103.859375 1604493985.1191
MEM 105.082031 1604493985.2200
MEM 105.582031 1604493985.3202
MEM 106.308594 1604493985.4204
MEM 107.394531 1604493985.5212
MEM 108.976562 1604493985.6222
MEM 109.476562 1604493985.7229
MEM 111.207031 1604493985.8236
MEM 112.511719 1604493985.9242
MEM 113.542969 1604493986.0252
MEM 114.582031 1604493986.1258
MEM 115.691406 1604493986.2262
MEM 116.660156 1604493986.3271
MEM 117.503906 1604493986.4272
MEM 118.289062 1604493986.5272
MEM 120.199219 1604493986.6281
MEM 123.246094 1604493986.7282
MEM 124.527344 1604493986.8284
MEM 124.609375 1604493986.9284
MEM 124.609375 1604493987.0291
MEM 125.027344 1604493987.1298
MEM 125.144531 1604493987.2301
MEM 125.937500 1604493987.3305
MEM 126.906250 1604493987.4311
MEM 128.167969 1604493987.5320
MEM 129.066406 1604493987.6321
MEM 130.039062 1604493987.7326
MEM 132.343750 1604493987.8327
MEM 134.457031 1604493987.9330
MEM 133.886719 1604493988.0333
MEM 135.234375 1604493988.1340
MEM 135.585938 1604493988.2344
MEM 138.789062 1604493988.3352
MEM 138.882812 1604493988.4359
MEM 139.089844 1604493988.5366
MEM 139.304688 1604493988.6370
MEM 139.660156 1604493988.7371
MEM 139.878906 1604493988.8378
MEM 140.066406 1604493988.9385
MEM 140.113281 1604493989.0392
MEM 140.367188 1604493989.1400
MEM 140.492188 1604493989.2404
MEM 140.625000 1604493989.3404
MEM 140.941406 1604493989.4412
MEM 141.066406 1604493989.5419
MEM 141.449219 1604493989.6427
MEM 141.449219 1604493989.7434
MEM 141.769531 1604493989.8441
MEM 142.039062 1604493989.9446
MEM 143.328125 1604493990.0446
MEM 146.039062 1604493990.1453
MEM 141.464844 1604493990.2461
MEM 141.468750 1604493990.3468
MEM 141.468750 1604493990.4475
MEM 138.066406 1604493990.5483
MEM 141.562500 1604493990.6490
MEM 141.617188 1604493990.7497
MEM 141.664062 1604493990.8505
MEM 141.730469 1604493990.9505
MEM 141.769531 1604493991.0509
MEM 141.925781 1604493991.1516
MEM 142.269531 1604493991.2524
MEM 142.304688 1604493991.3531
MEM 142.625000 1604493991.4538
MEM 142.687500 1604493991.5546
MEM 143.000000 1604493991.6553
MEM 143.125000 1604493991.7556
MEM 143.437500 1604493991.8558
MEM 143.453125 1604493991.9565
MEM 143.519531 1604493992.0573
MEM 143.644531 1604493992.1580
MEM 144.148438 1604493992.2587
MEM 150.199219 1604493992.3594
MEM 141.566406 1604493992.4601
MEM 143.535156 1604493992.5609
MEM 143.535156 1604493992.6616
MEM 139.765625 1604493992.7623
MEM 142.707031 1604493992.8631
MEM 142.777344 1604493992.9639
MEM 142.933594 1604493993.0646
MEM 143.093750 1604493993.1653
MEM 143.187500 1604493993.2654
MEM 143.312500 1604493993.3658
MEM 143.531250 1604493993.4662
MEM 143.625000 1604493993.5663
MEM 143.750000 1604493993.6669
MEM 143.937500 1604493993.7677
MEM 143.937500 1604493993.8684
MEM 144.250000 1604493993.9691
MEM 144.250000 1604493994.0698
MEM 144.699219 1604493994.1707
MEM 144.722656 1604493994.2713
MEM 144.910156 1604493994.3720
MEM 144.910156 1604493994.4728
MEM 145.417969 1604493994.5735
MEM 149.117188 1604493994.6742
MEM 142.550781 1604493994.7750
MEM 144.515625 1604493994.8757
MEM 144.515625 1604493994.9765
MEM 144.515625 1604493995.0772
MEM 146.351562 1604493995.1779
MEM 146.371094 1604493995.2786
MEM 146.371094 1604493995.3793
MEM 146.371094 1604493995.4801
MEM 146.378906 1604493995.5808
MEM 146.410156 1604493995.6815
MEM 146.472656 1604493995.7823
MEM 146.472656 1604493995.8830
MEM 146.472656 1604493995.9836
MEM 146.546875 1604493996.0839
MEM 146.730469 1604493996.1842
MEM 146.824219 1604493996.2849
MEM 147.011719 1604493996.3857
MEM 147.265625 1604493996.4864
MEM 147.328125 1604493996.5871
MEM 147.328125 1604493996.6879
MEM 147.457031 1604493996.7882
MEM 147.453125 1604493996.8883
MEM 148.652344 1604493996.9890
MEM 152.828125 1604493997.0898
MEM 147.671875 1604493997.1905
MEM 147.671875 1604493997.2912
MEM 146.035156 1604493997.3920
MEM 148.277344 1604493997.4923
MEM 148.308594 1604493997.5924
MEM 148.308594 1604493997.6932
MEM 148.308594 1604493997.7939
MEM 148.312500 1604493997.8946
MEM 148.375000 1604493997.9953
MEM 148.500000 1604493998.0961
MEM 148.562500 1604493998.1968
MEM 148.578125 1604493998.2976
