CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.078125 1604494988.1015
MEM 4.785156 1604494988.2022
MEM 11.988281 1604494988.3029
MEM 17.316406 1604494988.4036
MEM 22.269531 1604494988.5041
MEM 25.574219 1604494988.6041
MEM 27.855469 1604494988.7048
MEM 30.507812 1604494988.8056
MEM 33.851562 1604494988.9064
MEM 36.988281 1604494989.0070
MEM 39.316406 1604494989.1078
MEM 42.574219 1604494989.2085
MEM 48.808594 1604494989.3092
MEM 51.765625 1604494989.4100
MEM 56.144531 1604494989.5107
MEM 56.535156 1604494989.6109
MEM 56.535156 1604494989.7111
MEM 56.535156 1604494989.8119
MEM 56.535156 1604494989.9126
MEM 56.750000 1604494990.0133
MEM 60.304688 1604494990.1141
MEM 63.343750 1604494990.2143
MEM 67.738281 1604494990.3145
MEM 72.218750 1604494990.4153
MEM 76.429688 1604494990.5160
MEM 78.558594 1604494990.6164
MEM 80.261719 1604494990.7165
MEM 83.542969 1604494990.8172
MEM 87.644531 1604494990.9179
MEM 90.382812 1604494991.0186
MEM 96.105469 1604494991.1194
MEM 102.675781 1604494991.2201
MEM 105.492188 1604494991.3208
MEM 109.078125 1604494991.4216
MEM 109.894531 1604494991.5223
MEM 112.308594 1604494991.6230
MEM 114.574219 1604494991.7238
MEM 116.109375 1604494991.8245
MEM 118.207031 1604494991.9252
MEM 120.433594 1604494992.0254
MEM 124.437500 1604494992.1257
MEM 124.832031 1604494992.2264
MEM 124.847656 1604494992.3272
MEM 125.109375 1604494992.4279
MEM 125.226562 1604494992.5286
MEM 126.386719 1604494992.6293
MEM 130.453125 1604494992.7296
MEM 134.191406 1604494992.8298
MEM 141.093750 1604494992.9305
MEM 135.496094 1604494993.0313
MEM 135.847656 1604494993.1320
MEM 139.054688 1604494993.2329
MEM 139.195312 1604494993.3335
MEM 139.367188 1604494993.4335
MEM 139.667969 1604494993.5339
MEM 140.011719 1604494993.6339
MEM 140.046875 1604494993.7344
MEM 140.234375 1604494993.8351
MEM 140.402344 1604494993.9359
MEM 140.621094 1604494994.0366
MEM 140.750000 1604494994.1370
MEM 140.945312 1604494994.2370
MEM 141.136719 1604494994.3371
MEM 141.390625 1604494994.4375
MEM 141.769531 1604494994.5382
MEM 141.769531 1604494994.6390
MEM 142.082031 1604494994.7393
MEM 142.335938 1604494994.8394
MEM 144.085938 1604494994.9402
MEM 146.421875 1604494995.0409
MEM 139.812500 1604494995.1416
MEM 141.101562 1604494995.2424
MEM 141.101562 1604494995.3431
MEM 141.093750 1604494995.4438
MEM 138.304688 1604494995.5445
MEM 141.824219 1604494995.6453
MEM 141.882812 1604494995.7461
MEM 141.941406 1604494995.8467
MEM 141.980469 1604494995.9475
MEM 142.050781 1604494996.0482
MEM 142.117188 1604494996.1487
MEM 142.335938 1604494996.2497
MEM 142.382812 1604494996.3504
MEM 142.632812 1604494996.4512
MEM 142.757812 1604494996.5520
MEM 142.949219 1604494996.6524
MEM 143.199219 1604494996.7533
MEM 143.386719 1604494996.8537
MEM 143.710938 1604494996.9538
MEM 143.898438 1604494997.0545
MEM 144.027344 1604494997.1551
MEM 144.406250 1604494997.2555
MEM 148.503906 1604494997.3557
MEM 141.167969 1604494997.4564
MEM 142.164062 1604494997.5572
MEM 142.164062 1604494997.6579
MEM 140.265625 1604494997.7586
MEM 143.160156 1604494997.8588
MEM 143.214844 1604494997.9601
MEM 143.308594 1604494998.0608
MEM 143.496094 1604494998.1609
MEM 143.753906 1604494998.2613
MEM 143.914062 1604494998.3618
MEM 144.269531 1604494998.4627
MEM 144.464844 1604494998.5635
MEM 144.652344 1604494998.6642
MEM 144.902344 1604494998.7644
MEM 145.066406 1604494998.8647
MEM 145.066406 1604494998.9655
MEM 145.378906 1604494999.0661
MEM 145.757812 1604494999.1665
MEM 148.128906 1604494999.2666
MEM 142.847656 1604494999.3673
MEM 144.812500 1604494999.4681
MEM 144.812500 1604494999.5688
MEM 144.941406 1604494999.6695
MEM 146.824219 1604494999.7703
MEM 146.828125 1604494999.8710
MEM 146.828125 1604494999.9717
MEM 146.828125 1604495000.0724
MEM 146.875000 1604495000.1732
MEM 146.906250 1604495000.2739
MEM 146.906250 1604495000.3747
MEM 146.906250 1604495000.4752
MEM 147.156250 1604495000.5761
MEM 147.406250 1604495000.6768
MEM 147.535156 1604495000.7770
MEM 147.531250 1604495000.8773
MEM 147.531250 1604495000.9774
MEM 147.527344 1604495001.0778
MEM 147.656250 1604495001.1785
MEM 149.953125 1604495001.2792
MEM 151.488281 1604495001.3799
MEM 148.085938 1604495001.4807
MEM 148.085938 1604495001.5814
MEM 146.906250 1604495001.6821
MEM 148.753906 1604495001.7829
MEM 148.781250 1604495001.8836
MEM 148.781250 1604495001.9844
MEM 148.781250 1604495002.0851
MEM 148.816406 1604495002.1858
MEM 148.976562 1604495002.2865
MEM 149.023438 1604495002.3873
MEM 149.023438 1604495002.4880
MEM 149.042969 1604495002.5882
MEM 149.070312 1604495002.6884
MEM 149.097656 1604495002.7892
MEM 149.242188 1604495002.8899
MEM 149.550781 1604495002.9906
MEM 149.550781 1604495003.0914
MEM 149.929688 1604495003.1921
MEM 152.738281 1604495003.2928
MEM 147.695312 1604495003.3936
MEM 149.617188 1604495003.4943
MEM 149.617188 1604495003.5950
MEM 149.890625 1604495003.6955
MEM 151.828125 1604495003.7955
MEM 151.855469 1604495003.8962
MEM 151.855469 1604495003.9969
MEM 151.855469 1604495004.0977
MEM 151.855469 1604495004.1984
MEM 151.855469 1604495004.2992
MEM 151.863281 1604495004.3999
MEM 151.863281 1604495004.5004
MEM 152.078125 1604495004.6009
MEM 152.390625 1604495004.7011
MEM 152.390625 1604495004.8018
MEM 152.667969 1604495004.9025
MEM 152.667969 1604495005.0033
MEM 152.679688 1604495005.1036
MEM 153.742188 1604495005.2037
MEM 154.277344 1604495005.3045
MEM 149.140625 1604495005.4052
MEM 150.152344 1604495005.5059
MEM 150.152344 1604495005.6066
MEM 150.558594 1604495005.7074
MEM 152.792969 1604495005.8081
MEM 152.835938 1604495005.9082
MEM 152.847656 1604495006.0086
MEM 152.847656 1604495006.1088
MEM 152.847656 1604495006.2090
MEM 152.847656 1604495006.3096
MEM 152.847656 1604495006.4105
MEM 152.910156 1604495006.5113
MEM 152.910156 1604495006.6117
MEM 153.023438 1604495006.7117
MEM 153.156250 1604495006.8117
MEM 153.289062 1604495006.9122
MEM 153.335938 1604495007.0129
MEM 153.636719 1604495007.1131
MEM 154.777344 1604495007.2134
MEM 150.835938 1604495007.3141
MEM 142.058594 1604495007.4148
MEM 142.058594 1604495007.5155
MEM 142.058594 1604495007.6163
MEM 143.730469 1604495007.7170
MEM 143.761719 1604495007.8177
MEM 143.777344 1604495007.9178
MEM 143.777344 1604495008.0182
MEM 143.777344 1604495008.1183
MEM 143.777344 1604495008.2187
MEM 143.777344 1604495008.3188
MEM 143.839844 1604495008.4191
MEM 143.964844 1604495008.5199
MEM 144.277344 1604495008.6206
MEM 144.402344 1604495008.7213
MEM 144.664062 1604495008.8221
MEM 144.710938 1604495008.9228
MEM 145.027344 1604495009.0231
MEM 145.027344 1604495009.1233
MEM 145.406250 1604495009.2240
MEM 148.683594 1604495009.3247
MEM 143.308594 1604495009.4255
MEM 145.230469 1604495009.5262
MEM 145.230469 1604495009.6269
MEM 143.699219 1604495009.7270
MEM 145.832031 1604495009.8274
MEM 145.863281 1604495009.9276
MEM 145.890625 1604495010.0279
MEM 145.890625 1604495010.1286
MEM 145.890625 1604495010.2293
MEM 145.890625 1604495010.3301
MEM 145.890625 1604495010.4305
MEM 146.015625 1604495010.5305
MEM 146.078125 1604495010.6310
MEM 146.453125 1604495010.7321
MEM 146.769531 1604495010.8327
MEM 146.863281 1604495010.9332
MEM 146.894531 1604495011.0334
MEM 148.132812 1604495011.1339
MEM 149.898438 1604495011.2346
MEM 145.746094 1604495011.3354
MEM 145.746094 1604495011.4361
MEM 145.746094 1604495011.5368
MEM 152.394531 1604495011.6375
MEM 144.984375 1604495011.7383
MEM 150.753906 1604495011.8390
MEM 156.363281 1604495011.9398
MEM 136.546875 1604495012.0404
MEM 132.390625 1604495012.1412
