CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-SVR.py
MEM 0.078125 1604496017.0068
MEM 6.859375 1604496017.1071
MEM 10.082031 1604496017.2082
MEM 15.078125 1604496017.3087
MEM 18.886719 1604496017.4092
MEM 22.296875 1604496017.5101
MEM 25.429688 1604496017.6111
MEM 27.566406 1604496017.7113
MEM 29.781250 1604496017.8118
MEM 31.890625 1604496017.9128
MEM 35.625000 1604496018.0136
MEM 37.601562 1604496018.1143
MEM 41.968750 1604496018.2150
MEM 47.652344 1604496018.3158
MEM 50.769531 1604496018.4163
MEM 54.621094 1604496018.5170
MEM 56.488281 1604496018.6179
MEM 56.488281 1604496018.7184
MEM 56.488281 1604496018.8187
MEM 56.488281 1604496018.9193
MEM 56.488281 1604496019.0201
MEM 58.023438 1604496019.1204
MEM 61.644531 1604496019.2207
MEM 64.964844 1604496019.3210
MEM 69.785156 1604496019.4218
MEM 73.671875 1604496019.5220
MEM 77.933594 1604496019.6222
MEM 79.687500 1604496019.7223
MEM 84.093750 1604496019.8230
MEM 87.628906 1604496019.9235
MEM 90.156250 1604496020.0239
MEM 94.539062 1604496020.1246
MEM 102.199219 1604496020.2251
MEM 105.363281 1604496020.3255
MEM 108.105469 1604496020.4258
MEM 109.871094 1604496020.5266
MEM 112.312500 1604496020.6274
MEM 114.832031 1604496020.7279
MEM 116.347656 1604496020.8284
MEM 118.011719 1604496020.9285
MEM 120.984375 1604496021.0289
MEM 124.949219 1604496021.1295
MEM 125.207031 1604496021.2302
MEM 125.207031 1604496021.3312
MEM 125.589844 1604496021.4317
MEM 125.738281 1604496021.5318
MEM 127.171875 1604496021.6327
MEM 130.105469 1604496021.7332
MEM 133.703125 1604496021.8340
MEM 135.863281 1604496021.9347
MEM 136.714844 1604496022.0355
MEM 138.089844 1604496022.1362
MEM 142.183594 1604496022.2369
MEM 146.441406 1604496022.3377
MEM 150.613281 1604496022.4383
MEM 154.109375 1604496022.5391
MEM 157.089844 1604496022.6398
MEM 158.781250 1604496022.7405
MEM 159.769531 1604496022.8413
MEM 159.906250 1604496022.9420
MEM 139.039062 1604496023.0427
MEM 139.039062 1604496023.1435
MEM 139.039062 1604496023.2442
MEM 139.039062 1604496023.3449
MEM 139.039062 1604496023.4457
MEM 139.039062 1604496023.5464
MEM 139.039062 1604496023.6472
MEM 139.039062 1604496023.7479
MEM 139.039062 1604496023.8486
MEM 139.039062 1604496023.9493
MEM 139.039062 1604496024.0500
MEM 139.039062 1604496024.1508
MEM 139.265625 1604496024.2515
MEM 141.882812 1604496024.3523
MEM 146.156250 1604496024.4530
MEM 150.355469 1604496024.5537
MEM 154.117188 1604496024.6545
MEM 157.488281 1604496024.7552
MEM 159.230469 1604496024.8559
MEM 159.742188 1604496024.9566
MEM 159.785156 1604496025.0574
MEM 138.609375 1604496025.1581
MEM 138.609375 1604496025.2588
MEM 138.609375 1604496025.3596
MEM 138.609375 1604496025.4603
MEM 138.609375 1604496025.5610
MEM 138.609375 1604496025.6618
MEM 138.609375 1604496025.7625
MEM 138.609375 1604496025.8632
MEM 138.609375 1604496025.9640
MEM 138.609375 1604496026.0647
MEM 138.609375 1604496026.1654
MEM 138.828125 1604496026.2662
MEM 141.781250 1604496026.3669
MEM 145.890625 1604496026.4676
MEM 149.898438 1604496026.5683
MEM 153.800781 1604496026.6691
MEM 157.296875 1604496026.7698
MEM 159.476562 1604496026.8705
MEM 159.992188 1604496026.9712
MEM 160.003906 1604496027.0720
MEM 138.562500 1604496027.1727
MEM 138.566406 1604496027.2734
MEM 138.570312 1604496027.3742
MEM 138.574219 1604496027.4749
MEM 138.578125 1604496027.5757
MEM 138.582031 1604496027.6764
MEM 138.585938 1604496027.7771
MEM 138.589844 1604496027.8778
MEM 138.597656 1604496027.9786
MEM 138.601562 1604496028.0793
MEM 138.605469 1604496028.1800
MEM 137.636719 1604496028.2807
