CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.078125 1604457119.2379
MEM 12.960938 1604457119.3381
MEM 25.121094 1604457119.4504
MEM 32.445312 1604457119.5596
MEM 40.398438 1604457119.6702
MEM 51.453125 1604457119.7788
MEM 56.574219 1604457119.8876
MEM 56.574219 1604457119.9963
MEM 62.824219 1604457120.1075
MEM 75.949219 1604457120.2213
MEM 81.105469 1604457120.3362
MEM 88.750000 1604457120.4370
MEM 101.117188 1604457120.5379
MEM 109.062500 1604457120.6389
MEM 114.308594 1604457120.7396
MEM 120.121094 1604457120.8405
MEM 124.738281 1604457120.9414
MEM 125.136719 1604457121.0420
MEM 135.574219 1604457121.1428
MEM 135.437500 1604457121.2431
MEM 136.113281 1604457121.3438
MEM 138.980469 1604457121.4440
MEM 139.406250 1604457121.5447
MEM 139.800781 1604457121.6455
MEM 140.171875 1604457121.7460
MEM 140.582031 1604457121.8464
MEM 140.796875 1604457121.9474
MEM 141.171875 1604457122.0474
MEM 141.425781 1604457122.1482
MEM 141.886719 1604457122.2484
MEM 143.656250 1604457122.3490
MEM 139.921875 1604457122.4495
MEM 140.203125 1604457122.5495
MEM 138.449219 1604457122.6496
MEM 141.648438 1604457122.7502
MEM 141.773438 1604457122.8508
MEM 141.824219 1604457122.9515
MEM 142.148438 1604457123.0518
MEM 142.398438 1604457123.1521
MEM 142.875000 1604457123.2530
MEM 143.195312 1604457123.3531
MEM 143.382812 1604457123.4534
MEM 143.453125 1604457123.5537
MEM 143.957031 1604457123.6544
MEM 148.054688 1604457123.7554
MEM 143.363281 1604457123.8561
MEM 143.363281 1604457123.9569
MEM 143.386719 1604457124.0575
MEM 143.445312 1604457124.1586
MEM 143.476562 1604457124.2587
MEM 143.566406 1604457124.3591
MEM 143.917969 1604457124.4601
MEM 144.152344 1604457124.5608
MEM 144.464844 1604457124.6611
MEM 144.781250 1604457124.7619
MEM 145.039062 1604457124.8621
MEM 145.238281 1604457124.9626
MEM 145.558594 1604457125.0631
MEM 149.433594 1604457125.1639
MEM 144.789062 1604457125.2649
MEM 144.789062 1604457125.3743
MEM 146.613281 1604457125.4748
MEM 146.644531 1604457125.5754
MEM 146.656250 1604457125.6761
MEM 146.796875 1604457125.7769
MEM 146.800781 1604457125.8777
MEM 146.800781 1604457125.9780
MEM 146.859375 1604457126.0788
MEM 147.296875 1604457126.1796
MEM 147.476562 1604457126.2802
MEM 147.664062 1604457126.3802
MEM 147.726562 1604457126.4812
MEM 144.730469 1604457126.5815
MEM 146.250000 1604457126.6815
MEM 146.687500 1604457126.7815
MEM 148.769531 1604457126.8819
MEM 148.816406 1604457126.9819
MEM 148.949219 1604457127.0822
MEM 149.003906 1604457127.1822
MEM 149.003906 1604457127.2829
MEM 149.003906 1604457127.3834
MEM 149.007812 1604457127.4836
MEM 149.007812 1604457127.5843
MEM 149.082031 1604457127.6844
MEM 149.144531 1604457127.7849
MEM 151.554688 1604457127.8857
MEM 149.195312 1604457127.9919
MEM 149.195312 1604457128.0928
MEM 151.203125 1604457128.2006
MEM 151.218750 1604457128.3103
MEM 151.250000 1604457128.4111
MEM 151.285156 1604457128.5114
MEM 151.296875 1604457128.6122
MEM 151.582031 1604457128.7128
MEM 151.765625 1604457128.8135
MEM 151.800781 1604457128.9136
MEM 151.835938 1604457129.0143
MEM 151.832031 1604457129.1155
MEM 153.156250 1604457129.2164
MEM 149.980469 1604457129.3167
MEM 149.980469 1604457129.4325
MEM 151.199219 1604457129.5441
MEM 151.222656 1604457129.6527
MEM 151.312500 1604457129.7621
MEM 151.484375 1604457129.8714
MEM 151.796875 1604457129.9801
MEM 152.136719 1604457130.0897
MEM 152.449219 1604457130.1984
MEM 152.507812 1604457130.3077
MEM 152.507812 1604457130.4079
MEM 152.738281 1604457130.5082
MEM 151.070312 1604457130.6083
MEM 141.617188 1604457130.7088
MEM 139.628906 1604457130.8095
MEM 142.429688 1604457130.9102
MEM 142.511719 1604457131.0104
MEM 142.566406 1604457131.1105
MEM 142.679688 1604457131.2115
MEM 142.929688 1604457131.3118
MEM 143.179688 1604457131.4192
MEM 143.605469 1604457131.5276
MEM 144.046875 1604457131.6366
MEM 144.296875 1604457131.7462
MEM 146.058594 1604457131.8537
MEM 140.035156 1604457131.9547
MEM 143.226562 1604457132.0690
MEM 142.503906 1604457132.1766
MEM 145.011719 1604457132.2794
MEM 145.015625 1604457132.3800
MEM 145.066406 1604457132.4808
MEM 145.312500 1604457132.5816
MEM 145.476562 1604457132.6820
MEM 145.664062 1604457132.7821
MEM 145.726562 1604457132.8822
MEM 145.722656 1604457132.9824
MEM 146.160156 1604457133.0825
MEM 149.812500 1604457133.1832
MEM 146.460938 1604457133.2839
MEM 146.460938 1604457133.3840
MEM 148.570312 1604457133.4849
MEM 154.765625 1604457133.5850
MEM 135.472656 1604457133.6860
MEM 130.199219 1604457133.7866
