CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.078125 1601927608.8197
MEM 15.777344 1601927608.9263
MEM 28.429688 1601927609.0315
MEM 37.945312 1601927609.1369
MEM 37.945312 1601927609.2421
MEM 39.878906 1601927609.3475
MEM 50.148438 1601927609.4529
MEM 60.558594 1601927609.5588
MEM 69.882812 1601927609.6637
MEM 77.234375 1601927609.7678
MEM 91.253906 1601927609.8733
MEM 96.257812 1601927609.9807
MEM 103.250000 1601927610.0864
MEM 108.210938 1601927610.1922
MEM 114.546875 1601927610.2977
MEM 121.152344 1601927610.4033
MEM 123.636719 1601927610.5079
MEM 124.070312 1601927610.6125
MEM 136.894531 1601927610.7181
MEM 135.121094 1601927610.8226
MEM 140.964844 1601927610.9273
MEM 141.289062 1601927611.0330
MEM 141.523438 1601927611.1387
MEM 141.875000 1601927611.2434
MEM 141.441406 1601927611.3491
MEM 144.000000 1601927611.4539
MEM 144.078125 1601927611.5596
MEM 144.171875 1601927611.6653
MEM 144.453125 1601927611.7700
MEM 144.484375 1601927611.8768
MEM 139.554688 1601927611.9834
MEM 145.031250 1601927612.0882
MEM 145.140625 1601927612.1929
MEM 145.273438 1601927612.2996
MEM 145.511719 1601927612.4053
MEM 143.085938 1601927612.5110
MEM 146.972656 1601927612.6168
MEM 147.058594 1601927612.7225
MEM 147.187500 1601927612.8282
MEM 147.410156 1601927612.9339
MEM 147.816406 1601927613.0396
MEM 147.968750 1601927613.1443
MEM 148.027344 1601927613.2491
MEM 148.054688 1601927613.3548
MEM 148.183594 1601927613.4595
MEM 148.386719 1601927613.5662
MEM 149.960938 1601927613.6719
MEM 149.878906 1601927613.7766
MEM 149.902344 1601927613.8834
MEM 150.070312 1601927613.9891
MEM 150.480469 1601927614.0948
MEM 150.378906 1601927614.2005
MEM 151.285156 1601927614.3052
MEM 151.375000 1601927614.4109
MEM 151.433594 1601927614.5157
MEM 151.539062 1601927614.6204
MEM 151.929688 1601927614.7261
MEM 152.640625 1601927614.8318
MEM 153.070312 1601927614.9365
MEM 153.199219 1601927615.0433
MEM 153.316406 1601927615.1490
MEM 153.386719 1601927615.2547
MEM 152.140625 1601927615.3594
MEM 155.015625 1601927615.4651
MEM 155.160156 1601927615.5708
MEM 155.269531 1601927615.6766
MEM 155.468750 1601927615.7823
MEM 154.562500 1601927615.8880
MEM 143.601562 1601927615.9927
MEM 150.601562 1601927616.0994
MEM 137.367188 1601927616.2042
