lat,lon,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
-8.05955,-34.95985,1.982699279051112,1.8280061871905349,0.5148377870898738,-154.12450332142927,-0.8997445009279372,-0.43641704028364575,0.673380031662999,-113.76292922914944,-0.4029532266112541,-0.9152205729569125,0.30569051421236065,-154.12450332142927,-0.8997445009279372,-0.43641704028364575,0.673380031662999,8,8,2,0,6,6
-8.05955,-34.959648082191784,1.9730872584253587,1.8076581827045148,0.5059499100654838,-154.70602046603125,-0.9041274501325058,-0.42726286278694203,0.6790851948967181,-114.04717229358221,-0.4074886379296613,-0.9132102769670463,0.308540147442713,-154.70602046603125,-0.9041274501325058,-0.42726286278694203,0.6790851948967181,8,8,2,0,6,6
-8.05955,-34.95944616438357,1.9636804731574076,1.787355683871511,0.4978990059657346,-155.29317010328526,-0.9084583595679812,-0.41797536880903957,0.6848878614384603,-114.33788038166972,-0.4121168314005145,-0.9111310099411609,0.3114434186287117,-155.29317010328526,-0.9084583595679812,-0.41797536880903957,0.6848878614384603,8,8,2,0,6,6
-8.05955,-34.959244246575345,1.9544818865991305,1.7671002591557987,0.4907262709024261,-155.88590934891823,-0.9127337296319905,-0.40855493974749163,0.6907905522724557,-114.63526109336321,-0.41684027745873464,-0.9089797484477447,0.3144018564463422,-155.88590934891823,-0.9127337296319905,-0.40855493974749163,0.6907905522724557,8,8,2,0,6,6
-8.05955,-34.959042328767126,1.9454944519371191,1.7468935460480466,0.4844707111194296,-156.48418971317886,-0.9169500080319142,-0.3990021087291051,0.6967958760451123,-114.9395302291515,-0.4216615123927882,-0.9067533120792152,0.3174170482178888,-156.48418971317886,-0.9169500080319142,-0.3990021087291051,0.6967958760451123,8,7,2,1,6,5
-8.05955,-34.958840410958906,1.936721108750026,1.7267372546556492,0.4791682492375024,-157.08795696309642,-0.9211035950028705,-0.38931756609840734,0.7029065329109728,-115.25091214774386,-0.42658313875648995,-0.9044483543733501,0.3204906427521151,-157.08795696309642,-0.9211035950028705,-0.38931756609840734,0.7029065329109728,8,7,2,1,6,5
-8.05955,-34.958638493150694,1.9281647794545829,1.7066331715044551,0.4748508148766685,-157.6971509930832,-0.9251908489547864,-0.3795021646978072,0.7091253185794563,-115.56964013828434,-0.4316078255545716,-0.902061353190599,0.3236243533502551,-157.6971509930832,-0.9251908489547864,-0.3795021646978072,0.7091253185794563,8,7,2,1,6,5
-8.05955,-34.95843657534247,1.919828365626844,1.6865831635628217,0.4715454653225626,-158.31170570545999,-0.929208092551944,-0.36955692489246883,0.7154551285808052,-115.89595680746746,-0.4367383081666185,-0.8995886005167917,0.32681996099061295,-158.31170570545999,-0.929208092551944,-0.36955692489246883,0.7154551285808052,8,7,2,1,6,5
-8.05955,-34.95823465753425,1.911714744225704,1.6665891824992705,0.4692735870580584,-158.93154890135466,-0.9331516192175652,-0.3594830393101129,0.7218989627590776,-116.23011448160251,-0.44197738796514824,-0.8970261916619295,0.33007931770297594,-158.93154890135466,-0.9331516192175652,-0.3594830393101129,0.7218989627590776,8,7,2,1,6,5
-8.05955,-34.958032739726036,1.9038267637062989,1.6466532691836513,0.4680502294848583,-159.55660218374047,-0.9370177000616787,-0.3492818772440418,0.728459930014401,-116.57237562390918,-0.447327931583241,-0.8943700138228357,0.3334043501481649,-159.55660218374047,-0.9370177000616787,-0.3492818772440418,0.728459930014401,8,7,2,1,6,5
-8.05955,-34.95783082191781,1.8961672400409504,1.626777558448036,0.4678836172564942,-160.18678087305318,-0.9408025912183605,-0.33895498868849594,0.7351412533042658,-116.92301326685823,-0.4527928697753803,-0.8916157339799335,0.33679706341554316,-160.18678087305318,-0.9408025912183605,-0.33895498868849594,0.7351412533042658,8,7,2,1,6,5
-8.05955,-34.95762890410959,1.8887389526591232,1.6069642841405087,0.4687748771425467,-160.82199393636685,-0.9445025415789727,-0.3285041079664923,0.7419462749202553,-117.28231145939705,-0.45837519581085523,-0.8887587860974203,0.34025954505397177,-160.82199393636685,-0.9445025415789727,-0.3285041079664923,0.7419462749202553,8,7,2,1,6,5
-8.05955,-34.95742698630137,1.8815446403072773,1.5872157844510368,0.4707180002390066,-161.462143931774,-0.9481138009083154,-0.3179311568990795,0.7488784620652889,-117.65056572904224,-0.4640779633361644,-0.8857943575942204,0.343793969355786,-161.462143931774,-0.9481138009083154,-0.3179311568990795,0.7488784620652889,8,7,2,1,6,5
-8.05955,-34.957225068493145,1.8745869968429008,1.5675345075588385,0.4737000424580339,-162.1071269681881,-0.9516326283184489,-0.3072382474883635,0.7559414127430234,-118.02808355805986,-0.4699042836254963,-0.8827173750586362,0.34740260190911926,-162.1071269681881,-0.9516326283184489,-0.3072382474883635,0.7559414127430234,8,7,2,1,6,5
-8.05955,-34.957023150684925,1.8678686669798472,1.5479230176086298,0.47770154790034897,-162.75683268183613,-0.9550553010779089,-0.29642768406979925,0.7631388619839582,-118.4151848732447,-0.47585732213703374,-0.8795224891772645,0.3510878044402917,-162.75683268183613,-0.9550553010779089,-0.29642768406979925,0.7631388619839582,8,7,2,1,6,5
