52.91,62.8,21.22,19.74,88.03,40.1
31.87,83.9,34.37,45.12,85.16,55.97
64.74,65.72,34.83,13.42,104.02,69.95
20.94,75.55,27.84,34.75,61.79,63.22
21.05,75.55,40.55,45.13,61.79,55.54
15.91,75.55,16.31,13.39,61.79,21.58
37.78,75.55,17.05,47.04,61.79,25.62
35.47,75.55,22.96,44.56,61.79,60.87
29.44,71.0,25.49,44.03,96.72,10.37
20.85,109.91,37.65,15.56,96.85,24.11
28.0,71.0,41.62,29.79,96.72,15.59
78.19,87.59,36.72,33.62,74.88,24.6
48.27,72.72,52.9,45.11,126.83,27.74
52.62,75.55,49.1,18.53,61.79,39.1
23.99,72.72,26.49,18.94,126.83,16.91
78.3,75.55,28.72,34.99,61.79,32.92
29.04,85.31,15.26,20.98,71.78,19.17
37.16,65.72,38.06,19.6,104.02,27.34
39.68,65.72,31.18,22.09,104.02,8.15
42.44,85.31,69.42,51.69,71.78,24.48
61.25,114.73,62.5,34.69,96.85,38.3
31.31,71.0,33.84,46.77,96.72,50.8
24.29,75.55,18.52,9.86,61.79,40.86
49.67,71.0,37.71,35.72,96.72,54.06
31.0,72.72,35.27,44.58,126.83,21.49
21.38,65.72,21.04,49.34,104.02,21.99
54.87,85.31,29.64,58.93,71.78,51.4
26.51,72.72,41.61,28.26,126.83,23.56
49.1,114.73,29.78,33.01,96.85,11.29
62.72,75.55,29.71,34.43,61.79,12.01
31.13,72.72,50.73,47.17,126.83,47.52
36.12,85.31,69.09,11.57,71.78,15.89
31.87,75.55,40.38,16.21,61.79,21.51
36.93,85.31,34.3,21.48,71.78,54.33
24.13,75.55,35.13,48.39,61.79,10.58
24.25,85.31,52.97,51.03,71.78,17.15
75.85,109.91,23.67,43.29,96.85,38.32
42.92,87.59,22.41,37.76,74.88,33.83
63.06,71.0,48.65,29.09,96.72,26.47
20.9,83.9,20.24,27.7,85.16,30.71
30.75,83.9,32.59,46.79,90.25,18.06
26.79,83.9,19.2,26.43,85.16,34.42
27.28,75.55,54.76,33.91,61.79,47.71
35.58,72.72,33.04,33.18,126.83,42.06
19.8,85.31,44.39,24.56,42.04,40.65
69.47,85.31,28.03,37.54,71.78,30.79
53.67,75.55,64.18,25.19,61.79,26.3
39.86,72.72,27.05,35.03,126.83,14.03
21.64,75.55,22.69,33.39,61.79,41.22
54.32,71.0,43.68,40.49,96.72,33.1
34.37,118.16,30.88,40.24,88.7,41.13
37.04,75.55,42.9,42.12,61.79,20.43
24.67,62.8,35.65,46.62,88.03,33.97
23.8,71.0,24.46,11.11,96.72,21.45
49.29,65.72,85.42,18.37,104.02,17.13
15.3,65.72,30.05,32.07,104.02,31.08
47.98,71.0,55.65,17.15,96.72,88.15
44.3,85.31,25.14,24.21,71.78,23.93
50.54,72.72,56.5,17.85,126.83,27.14
65.02,62.8,18.31,12.2,88.03,32.47
31.97,114.73,18.15,67.8,104.99,53.47
63.35,72.72,30.55,31.32,126.83,22.41
55.03,83.9,52.23,23.34,85.16,25.75
17.25,71.0,27.22,59.29,96.72,37.11
8.02,85.31,23.84,26.66,71.78,34.93
37.15,75.55,62.86,29.03,61.79,39.29
15.72,85.31,32.56,57.39,71.78,39.79
27.59,88.86,29.84,12.58,50.32,10.67
33.76,88.86,22.69,36.16,50.32,18.31
21.77,83.9,14.48,41.38,85.16,18.2
86.27,71.0,33.24,18.95,96.72,23.75
79.77,85.31,37.57,59.51,71.78,24.02
18.97,83.9,34.6,31.51,85.16,31.1
43.45,88.86,40.42,9.2,74.88,37.34
20.13,114.73,23.45,35.15,104.99,45.69
20.39,75.55,30.46,30.48,61.79,21.1
63.14,62.8,28.05,7.38,88.03,46.94
27.8,83.9,29.72,19.98,90.25,36.02
27.56,85.31,36.43,27.45,71.78,11.99
65.7,85.31,39.02,32.76,71.78,53.86
24.18,71.0,41.86,32.47,96.72,20.65
25.39,75.55,66.51,36.26,61.79,25.08
34.51,83.9,35.07,29.5,90.25,64.2
54.04,72.72,32.74,38.29,126.83,62.38
52.21,65.72,75.55,14.47,104.02,96.72
46.89,62.8,75.55,21.26,88.03,96.72
25.74,85.31,72.72,22.14,71.78,61.79
36.08,75.55,65.72,47.17,61.79,104.02
16.63,75.55,85.31,33.63,61.79,71.78
50.3,65.72,85.31,17.09,104.02,104.02
50.61,118.16,75.55,25.91,88.7,104.02
