0,1,2
27.74,74.88,104.02
38.73,50.32,71.78
36.17,85.16,88.03
31.39,104.53,61.79
23.1,104.02,104.02
15.86,85.16,88.03
48.2,104.02,50.32
23.49,126.83,61.79
41.97,88.03,61.79
48.98,96.72,104.99
32.23,85.16,85.16
26.48,104.02,61.79
31.98,102.66,71.78
50.67,88.03,104.53
18.21,126.83,84.77
18.25,90.25,71.78
27.14,96.85,126.83
55.62,96.72,88.03
44.43,96.85,74.88
12.76,61.79,88.03
36.21,104.99,96.72
19.52,90.25,61.87
21.61,50.32,85.16
28.54,42.04,88.03
44.32,126.83,96.85
22.55,61.79,85.16
19.35,74.88,61.79
68.93,104.53,84.77
11.06,71.78,96.72
22.94,50.32,85.16
56.28,61.79,126.83
38.17,74.88,71.78
18.54,61.79,85.16
25.96,85.16,96.72
56.95,74.88,126.83
14.54,71.78,88.03
33.68,96.85,104.02
45.06,85.16,96.85
61.16,85.16,61.79
53.48,126.83,96.85
11.3,85.16,126.83
37.11,96.85,104.02
83.07,71.78,104.02
31.44,96.85,126.83
60.47,50.32,96.72
12.72,96.85,61.79
31.56,126.83,71.78
66.49,71.78,96.72
34.37,61.79,71.78
38.29,88.03,61.79
23.92,88.03,61.79
38.52,71.78,104.99
48.03,85.16,61.79
29.38,85.16,71.78
19.03,104.99,104.02
36.87,126.83,96.85
17.55,126.83,42.04
20.58,126.83,61.79
19.87,88.03,104.02
28.23,104.53,96.85
28.84,50.32,104.02
35.72,50.32,96.85
36.17,88.03,74.88
15.12,71.78,88.03
34.51,50.32,85.16
22.02,104.02,96.85
65.19,71.78,104.99
27.12,96.85,71.78
41.25,85.16,85.16
65.23,88.03,104.02
42.19,104.99,61.79
16.74,100.62,96.72
41.26,61.79,71.78
21.85,61.79,126.83
38.41,74.88,88.03
38.3,96.85,126.83
30.89,104.02,104.99
23.45,61.79,104.02
62.7,96.85,61.79
29.79,126.83,90.25
33.98,104.02,104.02
18.65,88.03,74.88
32.51,88.03,90.25
39.95,104.02,61.79
11.26,96.72,96.85
34.56,88.03,126.83
18.37,104.02,88.03
16.2,74.88,104.02
11.42,85.16,96.85
24.84,71.78,71.78
22.14,108.43,61.79
30.39,96.72,96.72
57.22,50.32,61.79
26.4,50.32,96.72
13.98,104.99,90.25
49.99,71.78,88.03
34.12,61.79,104.02
24.44,104.02,85.16
16.2,71.78,84.77
27.56,88.03,88.03
27.69,126.83,61.79
55.37,126.83,88.03
23.17,61.79,88.03
22.07,84.77,85.16
56.1,104.02,126.83
46.04,96.85,74.88
16.33,126.83,96.72
75.21,74.88,104.99
35.52,126.83,85.16
48.25,84.77,104.02
31.14,85.16,126.83
44.29,96.85,96.85
30.2,104.02,71.78
34.03,84.77,126.83
23.47,126.83,88.03
35.4,90.25,104.02
41.91,50.32,88.03
24.02,96.85,96.85
25.38,71.78,71.78
13.25,88.03,96.85
38.25,61.79,88.03
15.58,104.02,126.83
22.43,88.03,85.16
12.15,74.88,96.72
12.44,74.88,71.78
20.83,126.83,61.79
21.49,50.32,71.78
47.47,96.85,71.78
20.18,74.88,61.79
19.22,96.72,96.72
17.54,100.62,96.85
31.22,88.03,50.32
30.69,104.02,104.99
16.85,104.99,50.32
