idx,lat,lon,dist_1,dist_2,dist_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
6756,-8.05705,-34.94654,1.6231317093504471,0.5040544868157575,1.2667247434112567,7,2,5,5,2,-3
8168,-8.05195,-34.952709999999996,0.9466250579848928,0.8921001408385358,0.6827855209002668,4,4,3,0,1,1
8723,-8.05044,-34.954190000000004,0.8130490880401834,1.0835878517360389,0.6771450897783888,3,5,3,-2,0,2
9031,-8.04905,-34.94705,0.8279045406560579,0.4990697375513158,1.3824761584144691,4,2,6,2,-2,-4
8904,-8.04957,-34.95041,0.7023843324637972,0.7313497758998347,1.0421352919697944,3,3,4,0,-1,-1
7316,-8.05522,-34.95194,1.305050148599081,0.841565521776556,0.6570542653179419,6,4,3,2,3,1
7698,-8.05359,-34.9465,1.2777510529152305,0.21585891992059145,1.2710887289962778,5,1,5,4,0,-4
7122,-8.05551,-34.955659999999995,1.3966453692420338,1.2453712596345656,0.24780404384178395,6,5,1,1,5,4
9539,-8.04689,-34.95058,0.4144624444641104,0.9297549841825286,1.2329983294926077,2,4,5,-2,-3,-1
9332,-8.04815,-34.94715,0.7479788663072537,0.5911197987140321,1.425815717583955,3,3,6,0,-3,-3
7994,-8.05223,-34.948029999999996,1.0681136334806125,0.3772778836461664,1.1403685646449635,5,2,5,3,0,-3
7933,-8.05237,-34.94839,1.0668280591926722,0.4138471867763004,1.0978735458819722,5,2,5,3,0,-3
6790,-8.05655,-34.95511,1.4920430243052816,1.2196921856532132,0.3362794169538098,6,5,1,1,5,4
6736,-8.05762,-34.946490000000004,1.6838200640438632,0.5601894487254363,1.2831677136858723,7,2,5,5,2,-3
9315,-8.048169999999999,-34.95943,0.973015889768902,1.7084720576855874,0.8085464899971241,4,7,3,-3,1,4
7918,-8.052439999999999,-34.95623,1.1011677251871277,1.2749995226389863,0.3678846005656629,5,5,2,0,3,3
9507,-8.0471,-34.95061,0.4348797026956029,0.9156845866420872,1.2133390182735992,2,4,5,-2,-3,-1
8351,-8.051630000000001,-34.9497,0.942724611486354,0.5714825332540213,0.9917350346320308,4,2,4,2,0,-2
7181,-8.05545,-34.95555,1.3868237893143271,1.2320403650180003,0.2594353290821746,6,5,1,1,5,4
7173,-8.05546,-34.953720000000004,1.345006433952884,1.0370598058331102,0.4610146016007747,6,4,2,2,4,2
6821,-8.05638,-34.95068,1.4406912768434574,0.7665246704273763,0.8044358581356748,6,3,3,3,3,0
6841,-8.056289999999999,-34.95068,1.4307888779447768,0.7615611715807367,0.803045761918914,6,3,3,3,3,0
9286,-8.04829,-34.95074,0.5562225646265341,0.8403630607535875,1.1078781814521443,2,4,5,-2,-3,-1
8476,-8.05131,-34.94768,0.9940815148768808,0.3747973667762722,1.2106918939919566,4,2,5,2,-1,-3
7319,-8.05521,-34.9562,1.383677795183876,1.2963624317421587,0.18778274809785905,6,6,1,0,5,5
7515,-8.05442,-34.95627,1.3044354461003147,1.2895836150929587,0.20540130695217976,6,6,1,0,5,5
6884,-8.0561,-34.95081,1.4084794292705092,0.7640675617600509,0.7862650128320032,6,3,3,3,3,0
8745,-8.050360000000001,-34.95375,0.7914063982453271,1.0390464130998356,0.7142655122691046,3,4,3,-1,0,1
7576,-8.05419,-34.9572,1.3218623016695334,1.3884113444817483,0.14687427849736734,6,6,1,0,5,5
8598,-8.05085,-34.946059999999996,1.0506955608243769,0.27260051047798434,1.3956042207433186,4,1,6,3,-2,-5
6750,-8.0572,-34.953920000000004,1.5386388548391383,1.12533322474007,0.4854849378313522,7,5,2,2,5,3
6679,-8.05863,-34.94925,1.7092604209056381,0.810952960094571,1.0213312299388344,7,3,4,4,3,-1
8364,-8.0516,-34.95981,1.2488342177667415,1.6747376548494532,0.4621581549112737,5,7,2,-2,3,5
7435,-8.05467,-34.95775,1.3963448368179396,1.4549516772938809,0.07376440776638249,6,6,0,0,6,6
7566,-8.05423,-34.95763,1.3470199110807115,1.4360130569871945,0.124169220629139,6,6,1,0,5,5
7610,-8.05402,-34.95955,1.4376888672691146,1.6447400843550863,0.23184154877619256,6,7,1,-1,5,6
7337,-8.05518,-34.95243,1.3014729531511262,0.8918700752156663,0.6031480719982403,6,4,3,2,3,1
8008,-8.05222,-34.94815,1.061748801929541,0.3904722117485073,1.1280916414623359,5,2,5,3,0,-3
