idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
6615,-91.44714285714292,-86.35857142857141,-92.29428571428568,-93.3,-79.3775,-69.26857142857139,-90.2566666666667,-90.5772727272727,-95.8575,-8.05955,-34.94621,1.8946467179367064,0.7558280159067968,1.3708579431495511,160.31479954885592,-0.9415575853975104,0.3368520645333939,-0.3577604490236042,-167.03849460517804,-0.9745209799386612,-0.22429636568475955,0.2301606330721349,109.95458877973327,-0.3412752588081249,0.9399634023330096,-2.754267641949061,8,3,6,5,2,-3
6616,-96.24,-86.35857142857141,-94.3,-93.0216666666667,-92.62,-69.26857142857139,-90.2566666666667,-90.5772727272727,-95.8575,-8.05955,-34.94617,1.8961365321915629,0.7548512863034447,1.3750031918630428,160.18935640290528,-0.940817826794852,0.3389126978810499,-0.3602320111595321,-167.3646340132116,-0.9757819264834631,-0.21874558726571305,0.22417466580266715,109.8918929823472,-0.34024650153638153,0.9403362793130196,-2.7636912505108366,8,3,6,5,2,-3
6617,-91.44714285714292,-80.92,-92.29428571428568,-93.0216666666667,-79.3775,-61.36,-90.2566666666667,-90.5772727272727,-95.8575,-8.05953,-34.946259999999995,1.8907127127194296,0.7549314509636879,1.3649226108021772,160.44947334362283,-0.942346754844754,0.3346380038691977,-0.35511132409462937,-166.59320707045444,-0.972748395576134,-0.2318632331872759,0.23835889551886566,109.94626031920416,-0.34113862300857795,0.9400129998525611,-2.7555161932776064,8,3,6,5,2,-3
6618,-90.18,-86.35857142857141,-92.29428571428568,-93.0216666666667,-79.3775,-69.26857142857139,-90.2566666666667,-90.5772727272727,-95.8575,-8.05953,-34.94614,1.8951802263591884,0.7519745735545084,1.3773639340295425,160.072635977775,-0.9401254571324229,0.34082858573123337,-0.3625352160666205,-167.57362435897866,-0.9765733232097876,-0.2151849074516884,0.2203469031331121,109.75857016246825,-0.33805749302745663,0.9411254599722564,-2.783921313336543,8,3,6,5,2,-3
6619,-91.44714285714292,-86.35857142857141,-92.29428571428568,-91.24,-79.3775,-69.26857142857139,-90.2566666666667,-87.72,-95.8575,-8.05952,-34.94632,1.887466362359592,0.7554187366498554,1.3583289328218549,160.62742594709175,-0.9433815464733456,0.33170959855506016,-0.351617645898517,-166.0858008828431,-0.9706569181336636,-0.2404685993622833,0.24773799565004465,109.9975677442902,-0.3419802522478594,0.9397071389919791,-2.747840358661707,8,3,6,5,2,-3
6620,-91.44714285714292,-81.98,-92.29428571428568,-93.0216666666667,-69.05,-61.23,-90.2566666666667,-90.5772727272727,-95.8575,-8.05949,-34.94638,1.8821494701158463,0.7538231635825391,1.3509796984143994,160.78385170063416,-0.944283644628622,0.3291327976469173,-0.3485528945874756,-165.5372183520384,-0.9683100786483564,-0.2497510592330165,0.2579246717969091,109.96125101142836,-0.3413845534511589,0.939923713215574,-2.753269600846328,8,3,6,5,2,-3
6621,-91.44714285714292,-94.8,-92.29428571428568,-92.8,-79.3775,-69.26857142857139,-90.2566666666667,-89.59,-95.8575,-8.05948,-34.94612,1.8907370857204144,0.7461005464840607,1.3775823138771752,159.9527153526496,-0.939410040902162,0.3427955295102288,-0.3649051155350918,-167.6475726703691,-0.9768502363404946,-0.2139243225103677,0.21899398142316812,109.51112058775905,-0.33398981105334924,0.9425766844732306,-2.822171974350049,8,3,6,5,2,-3
6622,-84.23,-87.86,-86.55,-93.0216666666667,-82.17,-71.3453571428571,-90.2566666666667,-90.5772727272727,-95.8575,-8.05947,-34.946459999999995,1.8771737123852328,0.7539385393707358,1.3419364629865829,161.01578502851146,-0.9456082339764238,0.32530765105664056,-0.3440194780122349,-164.84631609828168,-0.965228124599554,-0.2614090042099319,0.2708261368973093,110.00100550953779,-0.3420366343636321,0.9396866183750832,-2.7473274028771635,8,3,6,5,2,-3
6623,-86.93,-87.86,-86.05,-93.6383333333333,-67.92,-71.3453571428571,-87.15,-90.5772727272727,-95.8575,-8.059439999999999,-34.94655,1.8708274021884048,0.7534017447494924,1.3314795293749062,161.27002507791113,-0.9470424158895991,0.3211084902427709,-0.3390645285313218,-164.05211951043017,-0.9615120336604313,-0.27476282340626423,0.2857611904868783,110.01284336628565,-0.3422307753162901,0.939615930274924,-2.7455623457783123,8,3,6,5,2,-3
6624,-91.44714285714292,-86.35857142857141,-92.29428571428568,-91.55,-73.67,-69.26857142857139,-90.2566666666667,-90.5772727272727,-95.8575,-8.05942,-34.94613,1.8841259515487896,0.7398584198166551,1.3743398358536778,159.91502794901442,-0.9391843573270346,0.3434133703748369,-0.3656506496256053,-167.45425271140317,-0.9761228817195458,-0.2172190594389213,0.22253249412232454,109.2657067109722,-0.3299494396021683,0.9439986055637026,-2.861040184526196,8,3,6,5,2,-3
