idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,delta_1_12,delta_1_13,delta_1_23,delta_2_12,delta_2_13,delta_2_23,delta_3_12,delta_3_13,delta_3_23,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
7040,-92.32857142857141,-96.1742857142857,-91.59714285714293,-98.625,-90.53,-94.8442857142857,-75.56,-72.078,-92.8625,-8.05561,-34.953790000000005,3.8457142857142936,-0.7314285714284807,-4.577142857142776,-8.094999999999999,-3.780714285714296,4.314285714285703,-3.4819999999999998,17.302499999999995,20.784499999999994,1.3625281857757077,1.0491182023341992,0.4541723301107042,-171.67343248114616,-0.9894587460681448,-0.14481501934970306,0.1463578142344598,-106.66208499422986,-0.2867266259048876,-0.9580124435502906,3.3412050259611408,94.04921137106,-0.07061325612483563,0.9975037684437328,-14.126296154368914,6,4,2,2,4,2
9100,-96.8642857142857,-85.91857142857141,-100.48,-81.63,-96.4925,-94.7016071428571,-96.175,-98.844,-96.3575,-8.048739999999999,-34.94717,-10.945714285714288,3.615714285714304,14.561428571428593,14.862500000000011,13.071607142857106,-1.7908928571429072,2.668999999999997,0.18250000000000452,-2.4864999999999924,0.7935024576938163,0.5352348665909621,1.3887046618127574,137.85780866351791,-0.7414819526144554,0.6709728116302885,-0.9049078123404722,-30.960766611834092,0.8575197729670732,-0.5144510073568711,-0.5999290320465004,58.396321078199904,0.5240405936787027,0.8516932876199464,1.6252429637962982,3,2,6,1,-3,-4
9669,-78.83,-91.81857142857142,-75.4625,-93.865,-98.73,-95.98,-87.2,-103.704,-97.22,-8.04642,-34.952729999999995,12.98857142857142,-3.3674999999999926,-16.35607142857141,4.865000000000009,2.115000000000009,-2.75,16.50399999999999,10.019999999999996,-6.4839999999999955,0.34140672420560497,1.14060428486726,1.1373773600730008,-166.36719824287803,-0.97182622275832,-0.2356985209102853,0.24253155079650526,-51.14466205592333,0.6273562264521518,-0.7787324091956854,-1.2412922297744644,30.069361494194695,0.8654194761198819,0.5010480319813552,0.5789655141895,1,5,5,-4,-4,0
8740,-82.28142857142859,-99.0082142857143,-81.96,-99.9291666666667,-98.14875,-90.3807142857143,-85.47388888888891,-100.24066666666701,-100.37,-8.05038,-34.954840000000004,16.72678571428571,-0.3214285714285978,-17.048214285714312,-1.7804166666666958,-9.5484523809524,-7.768035714285703,14.766777777778106,14.896111111111095,0.12933333333299402,0.8309729751012604,1.154677290254981,0.6420780897859838,-157.86833032951316,-0.9263205351373388,-0.3767363350977366,0.4067019145180459,-76.08854016352747,0.240422192497504,-0.9706684136999066,-4.037349479333043,31.69003528086384,0.8509024850924175,0.5253236724758825,0.6173723566206608,4,5,3,-1,1,2
8824,-99.17,-92.71,-97.20142857142858,-92.02,-94.525,-92.78142857142859,-87.18,-96.632,-98.7325,-8.04994,-34.95047,-6.460000000000008,-1.9685714285714224,4.491428571428585,2.5050000000000097,0.7614285714285955,-1.743571428571414,9.451999999999998,11.552499999999995,2.1004999999999967,0.7405464666436815,0.7175697959389941,1.0123229567694816,166.8357663906877,-0.9737212592124016,0.2277430775189774,-0.23388939633832,-62.955807914892645,0.4546775956372113,-0.8906560975065317,-1.9588739494813132,54.000994957168636,0.5877712033984238,0.8090272013075758,1.3764321842068408,3,3,4,0,-1,-1
7846,-89.18,-98.93285714285707,-89.75142857142859,-101.23166666666701,-100.9,-97.13857142857141,-101.75,-99.57600000000001,-97.765,-8.052810000000001,-34.95342,9.752857142857069,0.5714285714285836,-9.181428571428485,-0.3316666666670045,-4.0930952380956,-3.761428571428596,-2.1740000000000066,-3.985,-1.8109999999999928,1.0502268435733877,0.9643242355928032,0.5665001205999044,-171.42853456536733,-0.988830730333472,-0.14904290237435705,0.15072640625164835,-89.47369047701264,0.00918570487852215,-0.9999578105229664,-108.86021527439335,60.65781785565952,0.4900243515532207,0.8717087442975696,1.7789090308155733,4,4,2,0,2,2
7521,-88.74142857142859,-96.6671428571429,-91.59,-96.61,-89.27,-89.93428571428568,-97.21,-88.456,-96.2975,-8.05441,-34.95398,7.925714285714321,2.848571428571418,-5.077142857142904,-7.3400000000000025,-6.675714285714321,0.6642857142856826,-8.75399999999999,-0.9124999999999944,7.841499999999996,1.2348909207070575,1.0396903107378894,0.4436615774766519,-169.819883647333,-0.9842570033259268,-0.17674317922869553,0.1795701515269471,-99.30426795559664,-0.16167733141635976,-0.9868436758200788,6.103785033900072,76.88832788720632,0.2268497179986808,0.9739297743902888,4.293281838666217,5,4,2,1,3,2
6914,-82.21,-99.1157142857143,-85.59,-97.9633333333333,-92.505,-94.2371428571429,-78.5,-78.99600000000002,-83.71,-8.05593,-34.95643,16.90571428571431,3.3800000000000097,-13.5257142857143,-5.4583333333333,-3.726190476190396,1.7321428571429038,0.4960000000000235,5.209999999999994,4.713999999999969,1.4672027125093432,1.3389664192769737,0.1755188594983593,-160.5594946035385,-0.9429876001107966,-0.3328278624713987,0.3529504125317162,-104.54168450015509,-0.2510842958999577,-0.9679652247640008,3.8551404471336514,112.6043290977914,-0.3843650765664925,0.9231811782721928,-2.4018341794184543,6,6,1,0,5,5
7058,-92.42714285714293,-96.2,-96.47,-94.645,-91.57,-90.67857142857142,-78.18,-69.436,-96.41,-8.05558,-34.95456,3.772857142857077,4.0428571428570725,0.269999999999996,-3.075000000000003,-3.96642857142858,-0.8914285714285768,-8.744,18.22999999999999,26.97399999999999,1.3741348290169726,1.1298140507339252,0.36928387900850573,-168.14940303124075,-0.9786864199774128,-0.20536039382460045,0.20983267942896355,-105.2665006099842,-0.2633090526216215,-0.9647115334686862,3.6637993409781817,94.46573008769909,-0.07786280273796392,0.9969640835806418,-12.804112471211463,6,5,2,1,4,3
9369,-81.76,-81.95,-73.32,-85.9733333333333,-89.8225,-89.46,-86.37,-98.012,-94.4075,-8.04804,-34.95067,0.18999999999999773,-8.440000000000014,-8.63000000000001,3.849166666666704,3.486666666666693,-0.36250000000001137,11.641999999999996,8.037499999999994,-3.6045000000000016,0.5315706073398356,0.8513780644814696,1.132868836834441,163.99021121690166,-0.9612145902335572,0.2758015799848414,-0.286930288810771,-50.947491093211966,0.6300323446600432,-0.7765688924249854,-1.23258575374255,44.706916255154006,0.7107145609181277,0.7034804993025414,0.989821424783754,2,4,5,-2,-3,-1
