rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lat,lon
-89.99725731159991,-97.62333272687859,-86.65443256188183,-94.73488324135538,-93.50562964430155,-90.13940327676205,-88.47146241456801,-91.14243853837006,-69.19079747054086,8,8,2,0,6,6,-8.05955,-34.95985
-89.99725731159991,-97.62333272687859,-86.67192694110716,-94.73488324135538,-93.50562964430155,-90.14570390403328,-88.45935061783355,-89.36553545262431,-69.03244036297549,8,8,2,0,6,6,-8.05955,-34.959648082191784
-89.95259120026883,-97.62333272687859,-86.68366947274856,-94.73488324135538,-93.51734147146047,-90.48305959356364,-88.34485717537645,-86.52795722017551,-69.03244036297549,8,8,2,0,6,6,-8.05955,-34.95944616438357
-89.95259120026883,-97.62333272687859,-86.68526968867032,-94.73488324135538,-93.51734147146047,-90.48947535563437,-88.45738262288867,-81.72530953676613,-69.03244036297549,8,8,2,0,6,6,-8.05955,-34.959244246575345
-89.95259120026883,-97.48245349751987,-86.7974980785862,-94.73488324135538,-93.51734147146047,-90.7991637873304,-88.41345607205953,-80.38604169704928,-74.47290937066488,8,7,2,1,6,5,-8.05955,-34.959042328767126
-89.95259120026883,-97.48245349751987,-86.7974980785862,-94.74069978460496,-93.51734147146047,-90.7991637873304,-88.41345607205953,-79.94855652377953,-74.77535381738855,8,7,2,1,6,5,-8.05955,-34.958840410958906
-89.95259120026883,-97.48245349751987,-86.7974980785862,-94.74069978460496,-93.52189025918248,-90.98060531092192,-88.41345607205953,-79.94855652377953,-74.90039301846433,8,7,2,1,6,5,-8.05955,-34.958638493150694
-89.95259120026883,-97.48245349751987,-86.7974980785862,-94.74069978460496,-93.5170242456728,-91.09413387576859,-88.5372637900703,-80.00600102110609,-74.90039301846433,8,7,2,1,6,5,-8.05955,-34.95843657534247
-89.90965098857204,-97.5597991140665,-87.45501454253436,-95.70423184557306,-93.99748711729387,-91.09413387576859,-88.35973197691229,-80.00600102110609,-74.73834432080145,8,7,2,1,6,5,-8.05955,-34.95823465753425
-89.88491423953235,-97.5597991140665,-87.39123397714039,-95.70423184557306,-93.99748711729387,-91.07377941366148,-88.70411697568397,-80.00600102110609,-74.83983161174498,8,7,2,1,6,5,-8.05955,-34.958032739726036
-90.59258062434141,-97.34792608803792,-91.7118901146496,-96.96680455567265,-93.3413249698967,-92.23132102081229,-89.50482438029594,-72.43856913507327,-76.28004688388792,8,7,2,1,6,5,-8.05955,-34.95783082191781
-90.59258062434141,-97.34792608803792,-91.63315775658829,-96.96680455567265,-92.80788455651232,-92.23132102081229,-89.50482438029594,-72.43856913507327,-76.11394429240258,8,7,2,1,6,5,-8.05955,-34.95762890410959
-90.59258062434141,-97.34792608803792,-91.81064462536672,-96.96680455567265,-92.74120557308365,-92.10694428083401,-89.50482438029594,-72.39534224556269,-76.10487949695171,8,7,2,1,6,5,-8.05955,-34.95742698630137
-90.8791170960821,-97.34792608803792,-91.81064462536672,-96.96680455567265,-92.29266088665048,-92.10694428083401,-89.50482438029594,-72.32248675291041,-76.10487949695171,8,7,2,1,6,5,-8.05955,-34.957225068493145
-91.43318454171049,-97.34792608803792,-91.91417444095495,-96.9932032054185,-92.24135216465693,-92.09106509228307,-89.76389897111174,-72.32248675291041,-75.7579038011909,8,7,2,1,6,5,-8.05955,-34.957023150684925
-91.49627632057236,-97.34792608803792,-92.04134657217304,-97.69937191205887,-92.40523064159409,-92.09317272842192,-89.76389897111174,-71.90244573798901,-75.7579038011909,8,7,2,1,6,5,-8.05955,-34.95682123287671
-91.3360012749259,-97.34792608803792,-91.91461471067144,-97.73427703714626,-90.46000234944826,-92.30054026516586,-90.32652985623308,-71.8791252855867,-75.76239547011734,8,6,2,2,6,4,-8.05955,-34.95661931506849
-91.3360012749259,-97.34792608803792,-91.91461471067144,-97.73427703714626,-90.46000234944826,-92.30054026516586,-90.28011308639631,-71.8791252855867,-75.87320418140969,8,6,2,2,6,4,-8.05955,-34.956417397260275
-91.3360012749259,-97.34792608803792,-91.94757792230442,-97.56381656595755,-90.46000234944826,-92.30054026516586,-90.28011308639631,-71.8791252855867,-75.46453741403658,8,6,2,2,6,4,-8.05955,-34.956215479452055
-91.57477127566828,-97.34792608803792,-91.94757792230442,-97.54285896406952,-90.3717161090024,-92.0578165041412,-90.34632186807085,-71.8791252855867,-77.28216245938206,8,6,2,2,6,4,-8.05955,-34.956013561643836
-91.57477127566828,-97.3454107873166,-91.94757792230442,-97.56952070964884,-90.46772197162814,-91.98440434657209,-90.34632186807085,-72.40332686971045,-79.91803567761858,8,6,2,2,6,4,-8.05955,-34.955811643835624
-92.28607136901311,-97.28930960018862,-91.91757760901484,-97.56583583440222,-90.46772197162814,-91.98440434657209,-90.34632186807085,-72.40332686971045,-88.45424757376959,8,6,2,2,6,4,-8.05955,-34.9556097260274
-92.27235666228235,-97.06689224300871,-91.87464949266192,-97.56583583440222,-90.46772197162814,-91.98440434657209,-90.34632186807085,-72.40332686971045,-91.8784301766922,8,6,2,2,6,4,-8.05955,-34.95540780821918
-92.17459858802016,-97.06689224300871,-91.5039758789642,-97.58882333668446,-90.46772197162814,-91.98440434657209,-90.42547138333842,-72.40332686971045,-91.8784301766922,8,6,2,2,6,4,-8.05955,-34.95520589041096
-92.15682751436329,-97.06689224300871,-91.4695961111536,-97.55646073401476,-90.46772197162814,-91.93261322294364,-90.42547138333842,-72.40332686971045,-91.8784301766922,8,6,2,2,6,4,-8.05955,-34.95500397260274
-92.31487103835836,-97.06689224300871,-91.4695961111536,-97.55646073401476,-90.26239137117442,-91.93261322294364,-90.2571078782299,-72.40332686971045,-91.83732816628086,8,6,2,2,6,4,-8.05955,-34.95480205479452
-92.3525131253071,-97.03229581472306,-91.47499639886713,-97.55646073401476,-90.26239137117442,-92.17773814725813,-90.2571078782299,-72.67508240977331,-94.37110031669636,8,6,3,2,5,3,-8.05955,-34.9546001369863
-92.34060102894924,-97.00663166911656,-91.47499639886713,-97.60639256401925,-90.26239137117442,-92.17773814725813,-90.2571078782299,-72.67962331701852,-93.50744826131323,8,6,3,2,5,3,-8.05955,-34.954398219178074
-92.07135507426723,-96.506300509103,-91.23526991756336,-97.59261526838982,-82.90989094803136,-85.79083506722127,-90.22244280006062,-75.38571660764435,-93.92553020805315,8,5,3,3,5,2,-8.05955,-34.954196301369855
-92.07135507426723,-95.9757693005521,-91.46695793539044,-97.58350195867372,-82.43948363663901,-85.79083506722127,-90.67484509177936,-75.38571660764435,-95.159966282036,8,5,3,3,5,2,-8.05955,-34.95399438356164
-92.07135507426723,-96.0677791328516,-91.46695793539044,-97.58350195867372,-82.12898822414208,-85.79083506722127,-90.81365139454012,-75.38571660764435,-95.81069439759949,8,5,3,3,5,2,-8.05955,-34.95379246575342
-92.12299607187175,-95.57541392166344,-91.54305590250526,-97.58350195867372,-82.25166624249849,-86.05517551724041,-90.81365139454012,-75.38571660764435,-95.81789399436886,8,5,3,3,5,2,-8.05955,-34.953590547945204
-92.12299607187175,-95.2873961478805,-91.54305590250526,-97.58350195867372,-82.25166624249849,-86.10740710487309,-90.4625143426304,-75.38571660764435,-95.61222809889976,8,5,3,3,5,2,-8.05955,-34.953388630136985
-92.12299607187175,-95.15678992416656,-91.54305590250526,-97.2539425489794,-82.25166624249849,-86.10740710487309,-90.46669395738368,-77.67354164013464,-95.61222809889976,8,5,3,3,5,2,-8.05955,-34.953186712328765
-93.1265118542197,-94.7273518720858,-91.54305590250526,-97.3201179860792,-82.25166624249849,-86.10740710487309,-90.46068904799151,-77.67354164013464,-95.80425435022869,8,5,3,3,5,2,-8.05955,-34.952984794520546
-93.29900365527736,-93.340943087641,-91.54305590250526,-97.00662540140794,-82.25166624249849,-86.10740710487309,-90.46068904799151,-77.67354164013464,-95.78449786820885,8,5,3,3,5,2,-8.05955,-34.95278287671233
-93.29900365527736,-91.73711692148028,-91.54305590250526,-96.69178284680339,-82.25166624249849,-86.10740710487309,-90.46068904799151,-77.67354164013464,-95.83038417395348,8,5,3,3,5,2,-8.05955,-34.95258095890411
-93.29900365527736,-90.66151688002847,-91.54305590250526,-96.77214187854143,-82.25166624249849,-85.56246984115653,-90.46068904799151,-77.67354164013464,-95.83038417395348,8,5,3,3,5,2,-8.05955,-34.95237904109589
-93.29900365527736,-90.66054885504623,-91.55725215217251,-96.77214187854143,-82.25166624249849,-85.56246984115653,-90.60597871937073,-78.24493359819793,-95.83038417395348,8,5,3,3,5,2,-8.05955,-34.952177123287676
-93.33626306386226,-91.37900584238102,-91.65908004474268,-96.9182219958762,-82.28106027841505,-85.34473366242327,-90.63744669488385,-83.87278768022341,-96.38802184376442,8,5,3,3,5,2,-8.05955,-34.95197520547946
