rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lat,lon
-89.94200554828869,-97.8288700103503,-86.58543927828566,-94.66344388562895,-93.33167127565876,-90.05295776546373,-87.13204865514237,-90.80847940433037,-69.10345611362507,8,8,2,0,6,6,-8.05955,-34.95985
-89.94200554828869,-97.8288700103503,-87.1066266993089,-94.66344388562895,-93.33167127565876,-90.05295776546373,-87.13204865514237,-89.89750533373478,-69.10609447569138,8,8,2,0,6,6,-8.05955,-34.959648082191784
-89.66905516936127,-97.8288700103503,-87.10202273705386,-94.66344388562895,-93.33167127565876,-90.77116393748156,-87.21657761210972,-88.17069305452559,-69.10609447569138,8,8,2,0,6,6,-8.05955,-34.95944616438357
-89.66905516936127,-97.8288700103503,-87.10202273705386,-94.66344388562895,-93.33167127565876,-90.77116393748156,-87.06874912822576,-81.55513069981512,-69.10609447569138,8,8,2,0,6,6,-8.05955,-34.959244246575345
-89.66905516936127,-97.51983161319534,-87.10202273705386,-94.65104756980728,-93.33167127565876,-90.83663717323496,-87.14845295411716,-81.62890038444125,-74.86171709532114,8,7,2,1,6,5,-8.05955,-34.959042328767126
-89.66905516936127,-97.51983161319534,-87.10202273705386,-94.632281851686,-93.33167127565876,-90.83663717323496,-87.14845295411716,-81.62890038444125,-75.0852374986992,8,7,2,1,6,5,-8.05955,-34.958840410958906
-89.66905516936127,-97.51983161319534,-87.10202273705386,-94.66903908828172,-93.33167127565876,-90.9511992229402,-87.14845295411716,-81.62890038444125,-75.27172065416234,8,7,2,1,6,5,-8.05955,-34.958638493150694
-89.66905516936127,-97.51983161319534,-87.10868913363666,-94.66903908828172,-93.306805099921,-90.96902699074192,-87.14845295411716,-81.62890038444125,-75.27172065416234,8,7,2,1,6,5,-8.05955,-34.95843657534247
-89.65621823052847,-97.59505742784454,-88.43802859085396,-95.75524184707876,-93.6025368291478,-90.96902699074192,-87.18502282062046,-81.35038467885505,-75.07125359723207,8,7,2,1,6,5,-8.05955,-34.95823465753425
-89.65621823052847,-97.59505742784454,-89.14997821354113,-95.75524184707876,-93.6025368291478,-90.96902699074192,-87.9385636662971,-80.52801147522894,-75.07299294643839,8,7,2,1,6,5,-8.05955,-34.958032739726036
-90.01582021949913,-97.27490091822912,-90.75996567349227,-96.89540550865372,-92.83687081840479,-92.68041678548376,-89.25864111385599,-78.71140675091117,-76.43283517847291,8,7,2,1,6,5,-8.05955,-34.95783082191781
-90.27876307201349,-97.27490091822912,-90.93032540763477,-96.89540550865372,-91.99524635766585,-92.68041678548376,-89.25864111385599,-78.71140675091117,-76.41092443859306,8,7,2,1,6,5,-8.05955,-34.95762890410959
-90.27876307201349,-97.27490091822912,-90.93032540763477,-96.89540550865372,-91.99524635766585,-92.61623915598648,-89.25864111385599,-78.64018751211063,-76.41092443859306,8,7,2,1,6,5,-8.05955,-34.95742698630137
-90.89289905600893,-97.27490091822912,-91.01581652985115,-96.89540550865372,-91.83194928953196,-92.61623915598648,-89.25864111385599,-76.71694840996666,-76.40226032738299,8,7,2,1,6,5,-8.05955,-34.957225068493145
-91.95280596306944,-97.27490091822912,-91.71671294739352,-96.89540550865372,-91.80254985826727,-92.61623915598648,-89.47107993274099,-76.71694840996666,-76.23368550524204,8,7,2,1,6,5,-8.05955,-34.957023150684925
