rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lat,lon
-89.57560162399756,-97.58448642911046,-87.03773979997592,-97.7263999972117,-93.14424538792318,-89.5460268913318,-84.68320663833997,-89.2661995651499,-64.86391363852735,8,8,2,0,6,6,-8.05955,-34.95985
-89.638183320987,-97.58288975841805,-87.34263362819452,-97.71557241383933,-93.03710970521799,-89.5460268913318,-84.7797749325999,-88.0617858461038,-64.41782829667422,8,8,2,0,6,6,-8.05955,-34.959648082191784
-89.638183320987,-97.58562132128336,-87.22591923261095,-97.74615348795608,-93.03710970521799,-89.86633896968229,-84.7797749325999,-80.26569714515199,-64.41782829667422,8,8,2,0,6,6,-8.05955,-34.95944616438357
-89.638183320987,-97.58043414459114,-87.22591923261095,-97.92583526170714,-93.03710970521799,-89.9394082832278,-85.18877980670867,-80.18281656545959,-64.41782829667422,8,8,2,0,6,6,-8.05955,-34.959244246575345
-89.638183320987,-97.50102532582932,-87.24114575895233,-97.92583526170714,-92.91287442579865,-90.95673244223065,-85.18877980670867,-77.92185575460238,-77.7244174289887,8,7,2,1,6,5,-8.05955,-34.959042328767126
-89.61564949549543,-97.4927906324405,-87.24114575895233,-97.88503580866596,-92.91287442579865,-90.9919023499318,-85.40871026944356,-76.77422960734515,-77.72955892438617,8,7,2,1,6,5,-8.05955,-34.958840410958906
-89.5857709370486,-97.4927906324405,-87.8789689476248,-98.01447518653765,-92.91287442579865,-91.01087891757908,-85.40871026944356,-76.77422960734515,-77.72955892438617,8,7,2,1,6,5,-8.05955,-34.958638493150694
-89.5857709370486,-97.4927906324405,-87.6618448959687,-98.0619576290342,-92.68917711274223,-91.01607176298863,-85.36596299049721,-76.2687150910302,-79.29283904039053,8,7,2,1,6,5,-8.05955,-34.95843657534247
-89.5857709370486,-97.78390708155626,-88.30166826531618,-98.02263954576195,-92.69222507073117,-91.01607176298863,-85.37241715217799,-76.1902919358747,-79.32947749769507,8,7,2,1,6,5,-8.05955,-34.95823465753425
-89.56512527733915,-97.77147982123172,-88.34956083720215,-97.86293546755668,-92.69222507073117,-91.02187441989064,-86.82939615633299,-76.1902919358747,-79.30682827480804,8,7,2,1,6,5,-8.05955,-34.958032739726036
-90.70582998824499,-97.48413357474779,-90.96592296943312,-99.16324430404369,-92.03059865687305,-92.07223473669242,-88.21434032545466,-74.25973483758173,-82.72493236703926,8,7,2,1,6,5,-8.05955,-34.95783082191781
-91.03903836214664,-97.48699120823584,-91.6474738904325,-99.14984823066601,-91.0549188453197,-92.04851028883364,-88.55666038224359,-74.25973483758173,-82.80587077298411,8,7,2,1,6,5,-8.05955,-34.95762890410959
-91.331338252858,-97.383083825121,-91.6592151583605,-99.34845328387422,-91.0549188453197,-91.19469533021861,-88.55666038224359,-74.25973483758173,-82.77022246962737,8,7,2,1,6,5,-8.05955,-34.95742698630137
-91.46273718929965,-97.383083825121,-91.88672675472935,-99.35645079065992,-90.9196437741937,-91.12342149308228,-88.54649123053456,-72.6115155099848,-82.68199473248703,8,7,2,1,6,5,-8.05955,-34.957225068493145
-93.24964402204321,-97.38147702084572,-92.30849770127695,-99.35645079065992,-90.47910460005696,-91.12342149308228,-88.64028595665181,-72.6064371464707,-82.39732263569985,8,7,2,1,6,5,-8.05955,-34.957023150684925
-93.69607602419285,-97.38820342434995,-92.27261685388054,-99.36182833182222,-90.25816173485286,-91.14448598525655,-88.56525876317188,-72.57842210275692,-82.39732263569985,8,7,2,1,6,5,-8.05955,-34.95682123287671
-93.70302065561323,-97.39847086679873,-92.34788944250157,-99.44283021370904,-88.60135451401382,-91.29716783987722,-87.55381444117249,-72.57842210275692,-82.4271256061485,8,6,2,2,6,4,-8.05955,-34.95661931506849
-93.70302065561323,-97.40365804349095,-92.34788944250157,-99.45936151362714,-88.60135451401382,-91.29716783987722,-88.01974759609173,-72.57842210275692,-82.4271256061485,8,6,2,2,6,4,-8.05955,-34.956417397260275
-93.52547470850313,-97.40365804349095,-92.33212990756098,-99.45183301501363,-88.66503403756805,-91.03006140520935,-88.06204494720824,-72.57842210275692,-82.4271256061485,8,6,2,2,6,4,-8.05955,-34.956215479452055
-93.22394259580405,-97.40525471418337,-92.26877131329364,-99.29746289286686,-88.68674221287688,-90.76865382960298,-88.06204494720824,-72.6980160699171,-84.43419472947949,8,6,2,2,6,4,-8.05955,-34.956013561643836
-93.22595095793372,-97.41590210867822,-92.1920923894219,-99.37130424344534,-88.8210382419544,-90.13865937248863,-88.02164617330084,-72.71901215181684,-84.73112839221332,8,6,2,2,6,4,-8.05955,-34.955811643835624
-92.75690906173678,-97.21284410681943,-92.49161975172797,-99.4037403487007,-88.8210382419544,-90.19840805805204,-88.21577176714584,-72.73996166473037,-90.0760108940637,8,6,2,2,6,4,-8.05955,-34.9556097260274
-92.55807472568891,-97.10251321477858,-92.47396641557398,-99.5884240073445,-88.8210382419544,-90.19840805805204,-88.47414956911597,-72.75638012511021,-90.08648999476723,8,6,2,2,6,4,-8.05955,-34.95540780821918
-92.24493677805609,-97.09189911939056,-92.40592545662548,-99.66106274481967,-88.8210382419544,-90.19840805805204,-89.86439613187538,-72.75638012511021,-90.4926897521756,8,6,2,2,6,4,-8.05955,-34.95520589041096
-92.2906679548576,-97.02698179258884,-91.95933996039216,-99.4541712249082,-88.8210382419544,-90.25619648777305,-90.764169488699,-72.85599494042411,-90.4926897521756,8,6,2,2,6,4,-8.05955,-34.95500397260274
-92.2906679548576,-97.02367965347477,-91.81478287680376,-98.69277286435434,-88.31193616505828,-90.33529796385643,-90.764169488699,-72.8358424618271,-90.46716778574695,8,6,2,2,6,4,-8.05955,-34.95480205479452
-92.2906679548576,-96.8939828500717,-91.90450761414864,-98.65628560630644,-88.09291038652256,-90.33529796385643,-90.53590412691669,-72.84658683365457,-93.58191941768509,8,6,3,2,5,3,-8.05955,-34.9546001369863
-92.2895863592932,-96.60061832741472,-91.85293274869149,-98.66732797313402,-88.06313144582322,-90.33529796385643,-90.45644405253428,-73.14456202136134,-93.08748736430901,8,6,3,2,5,3,-8.05955,-34.954398219178074
-92.13166038770056,-95.3807787159968,-90.84617346020642,-98.67630979945422,-82.68886247729556,-84.93776038252017,-89.93610973680931,-73.51927907784601,-93.415541119684,8,5,3,3,5,2,-8.05955,-34.954196301369855
-92.133482518631,-95.3807787159968,-90.85301338812269,-98.46699721824345,-82.68886247729556,-84.93776038252017,-89.38694632457806,-73.51927907784601,-93.22171131856385,8,5,3,3,5,2,-8.05955,-34.95399438356164
-92.133482518631,-95.43981079096979,-90.85301338812269,-98.46699721824345,-82.63861132379856,-84.93776038252017,-89.38694632457806,-73.47027050280937,-93.53926311282774,8,5,3,3,5,2,-8.05955,-34.95379246575342
-92.66933949801798,-94.79809024716668,-90.85301338812269,-98.42618250429881,-81.9860098327373,-84.77073298487058,-89.44574387200208,-73.45055983212093,-93.75371283530836,8,5,3,3,5,2,-8.05955,-34.953590547945204
-92.84047392589441,-94.74944765379496,-90.85301338812269,-98.41230873799142,-81.9860098327373,-84.77073298487058,-89.42291998563391,-73.43570843298251,-93.85600960867852,8,5,3,3,5,2,-8.05955,-34.953388630136985
-92.84047392589441,-94.74944765379496,-90.85301338812269,-98.41230873799142,-81.9860098327373,-84.71535725632279,-90.03796157712591,-73.84913860705063,-94.07229415325074,8,5,3,3,5,2,-8.05955,-34.953186712328765
-92.91677870206208,-94.6672365521418,-90.76727304317352,-98.35473278257084,-81.9860098327373,-84.8324556472,-90.00368418514921,-74.79706687820348,-95.2701064488922,8,5,3,3,5,2,-8.05955,-34.952984794520546
-92.88303062724606,-93.67524426557608,-90.7664033088331,-98.35473278257084,-81.9860098327373,-84.8324556472,-89.7791221218824,-74.79706687820348,-95.36669907689064,8,5,3,3,5,2,-8.05955,-34.95278287671233
-92.88303062724606,-93.028708067607,-90.76706279025494,-98.18537525827033,-81.9860098327373,-84.8324556472,-89.7791221218824,-74.79706687820348,-95.41411817609452,8,5,3,3,5,2,-8.05955,-34.95258095890411
-93.08873490806765,-91.33073883795672,-90.76706279025494,-98.18537525827033,-81.98279834927075,-84.8324556472,-90.02793608323358,-74.79706687820348,-95.40035477236582,8,5,3,3,5,2,-8.05955,-34.95237904109589
-93.16789440858956,-90.92291249813029,-90.76463070906324,-98.14418754798423,-81.98279834927075,-84.90109137473908,-90.02793608323358,-74.78479573980971,-95.40035477236582,8,5,3,3,5,2,-8.05955,-34.952177123287676
-92.97996474710578,-92.10702956037625,-92.07210661287756,-97.58904765896887,-81.17791858700937,-84.32343228876938,-89.66357315013286,-84.6778533705013,-95.76271167527612,8,5,3,3,5,2,-8.05955,-34.95197520547946
-92.98023780276662,-92.17540538760971,-92.07210661287756,-95.60061264390087,-81.15759623887871,-84.32343228876938,-88.86037353959928,-84.62533667593121,-95.76699916153488,8,5,4,3,4,1,-8.05955,-34.95177328767124
-92.98023780276662,-92.21592882660498,-92.07210661287756,-95.60526824275487,-81.15759623887871,-84.32343228876938,-89.74545440966953,-84.61873477939105,-95.63831993137192,8,5,4,3,4,1,-8.05955,-34.95157136986302
-92.76765905850138,-92.21592882660498,-92.00263830666229,-95.60526824275487,-81.08079793391683,-82.14328175082738,-90.12020309491169,-84.61873477939105,-95.62420868406477,8,4,4,4,4,0,-8.05955,-34.9513694520548
-92.76765905850138,-91.7002911067914,-92.0063006453507,-95.62801583768378,-81.08079793391683,-82.14328175082738,-91.91687596084078,-84.641317459382,-95.66552680484725,8,4,4,4,4,0,-8.05955,-34.95116753424658
-92.77176515641938,-91.7002911067914,-92.0063006453507,-95.62801583768378,-81.08079793391683,-82.14328175082738,-92.23055197458127,-84.641317459382,-95.69216756865673,8,4,4,4,4,0,-8.05955,-34.95096561643836
-92.76679603208949,-91.73635865230229,-92.26662178999209,-95.66700482172628,-81.08079793391683,-82.14328175082738,-92.23055197458127,-84.13503343575516,-95.78733894962228,8,4,4,4,4,0,-8.05955,-34.95076369863014
-92.82703835616807,-91.85450797959659,-92.44672183986324,-95.66700482172628,-81.08121111315953,-82.19742994048028,-92.22537597462414,-84.13503343575516,-95.81412300403385,8,4,4,4,4,0,-8.05955,-34.95056178082192
