rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lat,lon
-89.37949609382238,-98.34794267172751,-85.99713911673018,-96.74616199317171,-93.25230441596659,-88.82132903413796,-84.43984636064083,-88.86167498727251,-64.49730192231081,8,8,2,0,6,6,-8.05955,-34.95985
-89.30769532544326,-98.34212662281094,-86.85312024125011,-96.7564903476538,-93.25888691269094,-88.80729579399055,-84.47169284351206,-87.48910938215106,-64.01714059026965,8,8,2,0,6,6,-8.05955,-34.959648082191784
-89.30254770142618,-98.3393820408932,-86.85312024125011,-96.74956129533051,-93.25888691269094,-89.66352414095121,-84.47169284351206,-86.59623966496342,-64.01714059026965,8,8,2,0,6,6,-8.05955,-34.95944616438357
-89.29109017377834,-98.34353264492441,-86.85312024125011,-96.74956129533051,-93.25888691269094,-89.74210194324671,-84.58434941455594,-82.69723903171989,-64.01714059026965,8,8,2,0,6,6,-8.05955,-34.959244246575345
-89.33808229823292,-98.24666663445628,-86.89654065647464,-96.76160734346355,-93.13455625327845,-90.76557940243116,-84.59648952892559,-77.93618791321072,-77.92470393310691,8,7,2,1,6,5,-8.05955,-34.959042328767126
-89.33808229823292,-98.24666663445628,-86.89654065647464,-96.7727546366257,-93.13455625327845,-90.82483569962895,-84.59648952892559,-77.73482513649857,-77.8034367230016,8,7,2,1,6,5,-8.05955,-34.958840410958906
-89.32037140382346,-98.24666663445628,-87.52179561529461,-96.7727546366257,-93.15902776346151,-90.76489466313228,-84.59648952892559,-77.73722957444994,-78.38646270971142,8,7,2,1,6,5,-8.05955,-34.958638493150694
-89.33096256988195,-98.24935355426888,-87.53232209241024,-96.7727546366257,-92.996897643449,-90.76489466313228,-84.45047542277099,-77.54067459547653,-78.38646270971142,8,7,2,1,6,5,-8.05955,-34.95843657534247
-89.33096256988195,-98.1967125186863,-88.55544391819583,-96.51892959244923,-92.94095598057741,-90.76489466313228,-84.33765152471695,-77.52663982344092,-78.38646270971142,8,7,2,1,6,5,-8.05955,-34.95823465753425
-89.4874548534931,-98.15292083340832,-88.53836799341778,-96.51294260619085,-92.93705811536756,-90.76489466313228,-85.67552700084384,-77.52663982344092,-78.40617353044443,8,7,2,1,6,5,-8.05955,-34.958032739726036
-90.1897984297197,-97.93044170245865,-91.3006687975053,-98.62131835716892,-91.66259982525284,-93.96281558789975,-87.24546561658693,-74.53863791367009,-84.90348880801344,8,7,2,1,6,5,-8.05955,-34.95783082191781
